Species RecID,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
8045,Species,Country,CO,12612,CITES_EU
8046,Species,Country,AR,5462,CITES_EU
8046,Species,Country,AR,9426,CITES_EU
8046,Species,Country,BO,14244,CITES_EU
8046,Species,Country,BR,22075,CITES_EU
8046,Species,Country,CO,14244,CITES_EU
8046,Species,Country,CR,12111,CITES_EU
8046,Species,Country,CR,12349,CITES_EU
8046,Species,Country,EC,10538,CITES_EU
8046,Species,Territory,GF,14244,CITES_EU
8046,Species,Country,GY,14244,CITES_EU
8046,Species,Country,PA,12111,CITES_EU
8046,Species,Country,PA,12349,CITES_EU
8046,Species,Country,PE,14244,CITES_EU
8046,Species,Country,PE,30001,CITES_EU
8046,Species,Country,PY,10538,CITES_EU
8046,Species,Country,VE,14244,CITES_EU
8047,Species,Country,JM,12612,CITES_EU
8047,Species,Country,JM,12616,CITES_EU
8050,Species,Country,EC,22075,CITES_EU
8050,Species,Country,PE,12612,CITES_EU
8050,Species,Country,PE,12616,CITES_EU
8050,Species,Country,PE,30001,CITES_EU
8051,Species,Country,CO,12473,CITES_EU
8051,Species,Country,CO,12616,CITES_EU
8051,Species,Country,EC,10538,CITES_EU
8051,Species,Country,PE,12612,CITES_EU
8051,Species,Country,PE,12616,CITES_EU
8051,Species,Country,PE,30001,CITES_EU
8051,Species,Country,VE,,CITES_EU
8051,Species,Country,VE,12473,CITES_EU
8052,Species,Country,BO,22075,CITES_EU
8052,Species,Country,CO,12111,CITES_EU
8052,Species,Country,CO,9114,CITES_EU
8052,Species,Country,CR,,CITES_EU
8052,Species,Country,CR,9009,CITES_EU
8052,Species,Country,EC,10538,CITES_EU
8052,Species,Country,EC,12111,CITES_EU
8052,Species,Country,GT,11714,CITES_EU
8052,Species,Country,GT,12491,CITES_EU
8052,Species,Country,HN,11714,CITES_EU
8052,Species,Country,HN,12491,CITES_EU
8052,Species,Country,MX,12007,CITES_EU
8052,Species,Country,MX,20033,CITES_EU
8052,Species,Country,MX,9114,CITES_EU
8052,Species,Country,NI,11714,CITES_EU
8052,Species,Country,NI,12111,CITES_EU
8052,Species,Country,PA,,CITES_EU
8052,Species,Country,PA,9009,CITES_EU
8052,Species,Territory,PR,22075,CITES_EU
8052,Species,Country,SV,,CITES_EU
