Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
Culcita,Genus,307,Family,38,A,C.Presl,,CITES_EU
Cyanaeorchis,Genus,308,Family,4,A,Barb.Rodr.,,CITES_EU
Cyathea,Genus,309,Family,1,A,J.E. Smith,,CITES_EU
Cycas,Genus,311,Family,14,A,L.,,CITES_EU
Cyclamen,Genus,312,Family,47,A,L.,,CITES_EU
Cyclopogon,Genus,313,Family,4,A,C. Presl,,CITES_EU
Cycnoches,Genus,314,Family,4,A,Lindl.,,CITES_EU
Cydoniorchis,Genus,315,Family,4,A,,,CITES_EU
Cymbidium,Genus,317,Family,4,A,Sw.,,CITES_EU
Cynometra,Genus,318,Family,19,A,L.,,CITES_EU
Cynorkis,Genus,319,Family,4,A,Thouars,,CITES_EU
Cyphostemma,Genus,321,Family,48,A,(Planch.) Alston,,CITES_EU
Cypripedium,Genus,322,Family,4,A,L.,,CITES_EU
Cyrtidiorchis,Genus,323,Family,4,A,Rauschert,,CITES_EU
Cyrtorchis,Genus,325,Family,4,A,Schlechter,,CITES_EU
Cystodium,Genus,328,Family,38,A,J. Smith,,CITES_EU
Cystopus,Genus,329,Family,4,A,Blume,,CITES_EU
Cystorchis,Genus,330,Family,4,A,Blume,,CITES_EU
Dactylorhiza,Genus,331,Family,4,A,Neck. ex Nevski,,CITES_EU
Dalbergia,Genus,333,Family,19,A,L.f.,,CITES_EU
Darlingtonia,Genus,334,Family,12,A,Torr.,,CITES_EU
Dasylirion,Genus,336,Family,20,A,Zucc.,,CITES_EU
Decarya,Genus,337,Family,21,A,Choux,,CITES_EU
Deceptor,Genus,338,Family,4,A,Seidenfaden 1992,,CITES_EU
Deiregyne,Genus,340,Family,4,A,Schlechter,,CITES_EU
Dendrobium,Genus,341,Family,4,A,Sw.,,CITES_EU
Dendrocereus,Genus,342,Family,3,A,B. & R.,,CITES_EU
Dendrochilum,Genus,343,Family,4,A,Blume,,CITES_EU
Dendrophylax,Genus,344,Family,4,A,Reichb.f.,,CITES_EU
Denmoza,Genus,345,Family,3,A,B. & R.,,CITES_EU
Diaphananthe,Genus,347,Family,4,A,Schlechter,,CITES_EU
Diceratostele,Genus,348,Family,4,A,Summerh.,,CITES_EU
Dichaea,Genus,350,Family,4,A,Lindl.,,CITES_EU
Dichromanthus,Genus,351,Family,4,A,Garay,,CITES_EU
Dicksonia,Genus,353,Family,38,A,L'Herit.,,CITES_EU
Didiciea,Genus,355,Family,4,A,King & Prain,,CITES_EU
Didierea,Genus,356,Family,21,A,Baill.,,CITES_EU
Didymoplexiella,Genus,357,Family,4,A,Garay,,CITES_EU
Didymoplexis,Genus,358,Family,4,A,Griff.,,CITES_EU
Diglyphosa,Genus,359,Family,4,A,Blume,,CITES_EU
Dignathe,Genus,360,Family,4,A,Lindl.,,CITES_EU
Dilochia,Genus,361,Family,4,A,Lindl.,,CITES_EU
