Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
cypriensis,SPECIES,,GENUS,54285,S,"Plötner, Baier, Akın, Mazepa, Schreiber, Beerli, Litvinchuk, Bilgin, Borkin & Uzzell, 2012",,CITES_EU,SPECIES,104828
gigas,SPECIES,,GENUS,54285,S,"Safaei-Mahroo & Ghaffari, 2020",,CITES_EU,SPECIES,104828
persicus,SPECIES,,GENUS,54285,S,"Safaei-Mahroo, Ghaffari & Niamir, 2023",,CITES_EU,SPECIES,104828
galeus,SPECIES,,GENUS,98458,S,"Linnaeus, 1758",,CITES_EU,SPECIES,104832
rhinophanes,SPECIES,,GENUS,98458,S,"Péron, 1807",,CITES_EU,SPECIES,104832
vulgaris,SPECIES,,GENUS,98483,S,"Fleming, 1828",,CITES_EU,SPECIES,104832
vitaminicus,SPECIES,,GENUS,104831,S,"de Buen, 1950",,CITES_EU,SPECIES,104832
australis,SPECIES,,GENUS,98483,S,"Macleay, 1881",,CITES_EU,SPECIES,104832
canis,SPECIES,,GENUS,98483,S,"Bonaparte, 1834",,CITES_EU,SPECIES,104832
chilensis,SPECIES,,GENUS,98483,S,"Pérez Canto, 1886",,CITES_EU,SPECIES,104832
communis,SPECIES,,GENUS,98483,S,"Owen, 1853",,CITES_EU,SPECIES,104832
nilssoni,SPECIES,,GENUS,98483,S,"Bonaparte, 1846",,CITES_EU,SPECIES,104832
linnei,SPECIES,,GENUS,98483,S,"Malm, 1877",,CITES_EU,SPECIES,104832
zyopterus,SPECIES,,GENUS,104831,S,"Jordan & Gilbert, 1883",,CITES_EU,SPECIES,104832
molinae,SPECIES,,GENUS,98483,S,"Philippi, 1887",,CITES_EU,SPECIES,104832
cyrano,SPECIES,,GENUS,2636,S,"Whitley, 1930",,CITES_EU,SPECIES,104832
mustelus,SPECIES,,GENUS,98458,S,"Linnaeus, 1758",,CITES_EU,SPECIES,104835
laevis,SPECIES,,GENUS,104833,S,"Linck, 1790",,CITES_EU,SPECIES,104835
vulgaris,SPECIES,,GENUS,104833,S,"Cloquet, 1819",,CITES_EU,SPECIES,104835
laevis,SPECIES,,GENUS,98483,S,"Risso, 1820",,CITES_EU,SPECIES,104835
equestris,SPECIES,,GENUS,104833,S,"Bonaparte, 1834",,CITES_EU,SPECIES,104835
hacat,SPECIES,,GENUS,104833,S,"Pérez-Jiménez, Nichizaki & Castillo Geniz, 2005",,CITES_EU,SPECIES,105030
hinnulus,SPECIES,,GENUS,98458,S,"Blainville, 1825",,CITES_EU,SPECIES,105033
stellatus,SPECIES,,GENUS,104833,S,"Risso, 1827",,CITES_EU,SPECIES,105033
plebejus,SPECIES,,GENUS,104833,S,"Bonaparte, 1834",,CITES_EU,SPECIES,105033
