Date,Manual ID,Title,Lang,Master Document,Volume,Type,General/ Part,PDF Filename trimmed
1988,A-119.006.004.005h,CITES ID Manual - Cervus elaphus hanglu,EN,,1,CITES ID Manual,General,A-119.006.004.005h Cervus elaphus hanglu_E.pdf
1988,A-119.006.004.005h,Manual de identificación de la CITES - Cervus elaphus hanglu,ES,A-119.006.004.005h,1,CITES ID Manual,General,A-119.006.004.005h Cervus elaphus hanglu_S.pdf
1987,A-111.000.000.001,CITES ID Manual - Cetacea,EN,,1,CITES ID Manual,General,A-111.000.000.001 Cetacea general notes_E.pdf
1987,A-111.000.000.001,Manual de identificación de la CITES - Cetacea,ES,A-111.000.000.001,1,CITES ID Manual,General,A-111.000.000.001 Cetacea general notes_S.pdf
1987,A-111.000.000.003,CITES ID Manual - Cetacea - Identification key,EN,,1,CITES ID Manual,General,A-111.000.000.003 Cetacea identification aid_E.pdf
1987,A-111.000.000.003,Manual de identificación de la CITES - Cetacea - Guía de identificación,ES,A-111.000.000.003,1,CITES ID Manual,General,A-111.000.000.003 Cetacea identification aid_S.pdf
1981,A-102.004.001.001,CITES ID Manual - Chaeropus ecaudatus,EN,,1,CITES ID Manual,General,A-102.004.001.001 Chaeropus ecaudatus_E.pdf
1981,A-102.004.001.001,Manual de identificación de la CITES - Chaeropus ecaudatus,ES,A-102.004.001.001,1,CITES ID Manual,General,A-102.004.001.001 Chaeropus ecaudatus_S.pdf
2004,A-107.003.003.001,CITES ID Manual - Chaetophractus nationi,EN,,1,CITES ID Manual,General,A-107.003.003.001 Chaetophractus nationi_E.pdf
2004,A-107.003.003.001,Manuel d'identification de la CITES - Chaetophractus nationi,FR,A-107.003.003.001,1,CITES ID Manual,General,A-107.003.003.001 Chaetophractus nationi_F.pdf
1984,A-106.001.004.002,CITES ID Manual - Cheirogaleus major,EN,,1,CITES ID Manual,General,A-106.001.004.002 Cheirogaleus major_E.pdf
1984,A-106.001.004.002,Manual de identificación de la CITES - Cheirogaleus major,ES,A-106.001.004.002,1,CITES ID Manual,General,A-106.001.004.002 Cheirogaleus major_S.pdf
1984,A-106.001.004.003,CITES ID Manual - Cheirogaleus medius,EN,,1,CITES ID Manual,General,A-106.001.004.003 Cheirogaleus medius_E.pdf
1984,A-106.001.004.003,Manual de identificación de la CITES - Cheirogaleus medius,ES,A-106.001.004.003,1,CITES ID Manual,General,A-106.001.004.003 Cheirogaleus medius_S.pdf
1985,A-110.023.001.001,CITES ID Manual - Chinchilla chinchilla,EN,,1,CITES ID Manual,General,A-110.023.001.001 Chinchilla brevicaudata_E.pdf
1985,A-110.023.001.001,Manual de identificación de la CITES - Chinchilla chinchilla,ES,A-110.023.001.001,1,CITES ID Manual,General,A-110.023.001.001 Chinchilla brevicaudata_S.pdf
1985,A-110.023.001.002,CITES ID Manual - Chinchilla lanigera,EN,,1,CITES ID Manual,General,A-110.023.001.002 Chinchilla lanigera_E.pdf
1985,A-110.023.001.002,Manual de identificación de la CITES - Chinchilla lanigera,ES,A-110.023.001.002,1,CITES ID Manual,General,A-110.023.001.002 Chinchilla lanigera_S.pdf
1985,A-110.023.000.001,CITES ID Manual - Chinchillidae,EN,,1,CITES ID Manual,General,A-110.023.000.001 Chinchillidae general notes_E.pdf
1985,A-110.023.000.001,Manual de identificación de la CITES - Chinchillidae,ES,A-110.023.000.001,1,CITES ID Manual,General,A-110.023.000.001 Chinchillidae general notes_S.pdf
1981,A-105.000.000.001,CITES ID Manual - Chiroptera,EN,,1,CITES ID Manual,General,A-105.000.000.001 Chiroptera general notes_E.pdf
1981,A-105.000.000.001,Manual de identificación de la CITES - Chiroptera,ES,A-105.000.000.001,1,CITES ID Manual,General,A-105.000.000.001 Chiroptera general notes_S.pdf
1987,A-107.002.002.002,CITES ID Manual - Choloepus hoffmanni,EN,,1,CITES ID Manual,General,A-107.002.002.002 Choloepus hoffmanni_E.pdf
1987,A-107.002.002.002,Manual de identificación de la CITES - Choloepus hoffmanni,ES,A-107.002.002.002,1,CITES ID Manual,General,A-107.002.002.002 Choloepus hoffmanni_S.pdf
1984,A-112.001.005.001,CITES ID Manual - Chrysocyon brachyurus,EN,,1,CITES ID Manual,General,A-112.001.005.001 Chrysocyon brachyurus_E.pdf
1984,A-112.001.005.001,Manual de identificación de la CITES - Chrysocyon brachyurus,ES,A-112.001.005.001,1,CITES ID Manual,General,A-112.001.005.001 Chrysocyon brachyurus_S.pdf
1985,A-112.005.005.001,CITES ID Manual - Civettictis civetta,EN,,1,CITES ID Manual,General,A-112.005.005.001 Civettictis civetta_E.pdf
1985,A-112.005.005.001,Manual de identificación de la CITES - Civettictis civetta,ES,A-112.005.005.001,1,CITES ID Manual,General,A-112.005.005.001 Civettictis civetta_S.pdf
1987,A-106.008.006.000a,CITES ID Manual - Colobus,EN,,1,CITES ID Manual,General,A-106.008.006.000a Cercopithecidae Colobus Aid_E.pdf
1987,A-106.008.006.002,CITES ID Manual - Colobus guereza,EN,,1,CITES ID Manual,General,A-106.008.006.002 Colobus guereza_E.pdf
1987,A-106.008.006.002,Manual de identificación de la CITES - Colobus guereza,ES,A-106.008.006.002,1,CITES ID Manual,General,A-106.008.006.002 Colobus guereza_S.pdf
1987,A-106.008.006.004,CITES ID Manual - Colobus polykomos,EN,,1,CITES ID Manual,General,A-106.008.006.004 Colobus polykomos_E.pdf
1988,A-112.004.018.002,CITES ID Manual - Conepatus humboldtii,EN,,1,CITES ID Manual,General,A-112.004.018.002 Conepatus humboldtii_E.pdf
1988,A-112.004.018.002,Manual de identificación de la CITES - Conepatus humboldtii,ES,A-112.004.018.002,1,CITES ID Manual,General,A-112.004.018.002 Conepatus humboldtii_S.pdf
1985,A-112.005.034.001,CITES ID Manual - Cryptoprocta ferox,EN,,1,CITES ID Manual,General,A-112.005.034.001 Cryptoprocta ferox_E.pdf
1985,A-112.005.034.001,Manual de identificación de la CITES - Cryptoprocta ferox,ES,A-112.005.034.001,1,CITES ID Manual,General,A-112.005.034.001 Cryptoprocta ferox_S.pdf
1984,A-112.001.006.001,CITES ID Manual - Cuon alpinus,EN,,1,CITES ID Manual,General,A-112.001.006.001 Cuon alpinus_E.pdf
1984,A-112.001.006.001,Manual de identificación de la CITES - Cuon alpinus,ES,A-112.001.006.001,1,CITES ID Manual,General,A-112.001.006.001 Cuon alpinus_S.pdf
1985,A-112.005.014.001,CITES ID Manual - Cynogale bennettii,EN,,1,CITES ID Manual,General,A-112.005.014.001 Cynogale bennettii_E.pdf
1985,A-112.005.014.001,Manual de identificación de la CITES - Cynogale bennettii,ES,A-112.005.014.001,1,CITES ID Manual,General,A-112.005.014.001 Cynogale bennettii_S.pdf
1984,A-110.002.004.004,CITES ID Manual - Cynomys mexicanus,EN,,1,CITES ID Manual,General,A-110.002.004.004 Cynomys mexicanus_E.pdf
1984,A-110.002.004.004,Manual de identificación de la CITES - Cynomys mexicanus,ES,A-110.002.004.004,1,CITES ID Manual,General,A-110.002.004.004 Cynomys mexicanus_S.pdf
1988,A-119.006.004.003,CITES ID Manual - Dama dama mesopotamica,EN,,1,CITES ID Manual,General,A-119.006.004.003 Dama mesopotamica_E.pdf
1988,A-119.006.004.003,Manual de identificación de la CITES - Dama dama mesopotamica,ES,A-119.006.004.003,1,CITES ID Manual,General,A-119.006.004.003 Dama mesopotamicus_S.pdf
1987,A-119.009.014.003,CITES ID Manual - Damaliscus lunatus,EN,,1,CITES ID Manual,General,A-119.009.014.003 Damaliscus lunatus_E.pdf
1987,A-119.009.014.003,Manual de identificación de la CITES - Damaliscus lunatus,ES,A-119.009.014.003,1,CITES ID Manual,General,A-119.009.014.003 Damaliscus lunatus korrigum_S.pdf
1985,A-119.009.014.001,CITES ID Manual - Damaliscus pygargus,EN,,1,CITES ID Manual,General,A-119.009.014.001 Damaliscus dorcas dorcas_E.pdf
1985,A-119.009.014.001,Manual de identificación de la CITES - Damaliscus pygargus,ES,A-119.009.014.001,1,CITES ID Manual,General,A-119.009.014.001 Damaliscus dorcas dorcas_S.pdf
1987,A-107.003.000.001,CITES ID Manual - Dasypodidae,EN,,1,CITES ID Manual,General,A-107.003.000.001 Dasypodiae General Notes_E.pdf
1987,A-107.003.000.001,Manual de identificación de la CITES - Dasypodidae,ES,A-107.003.000.001,1,CITES ID Manual,General,A-107.003.000.001 Dasypodiae general notes_S.pdf
1984,A-106.003.001.001,CITES ID Manual - Daubentonia madagascariensis,EN,,1,CITES ID Manual,General,A-106.003.001.001 Daubentonia madagascariensis_E.pdf
1984,A-106.003.001.001,Manual de identificación de la CITES - Daubentonia madagascariensis,ES,A-106.003.001.001,1,CITES ID Manual,General,A-106.003.001.001 Propithecus madagascariensis_S.pdf
1987,A-111.003.001.001,CITES ID Manual - Delphinapterus leucas,EN,,1,CITES ID Manual,General,A-111.003.001.001 Delphinapterus leucas_E.pdf
1987,A-111.003.001.001,Manual de identificación de la CITES - Delphinapterus leucas,ES,A-111.003.001.001,1,CITES ID Manual,General,A-111.003.001.001 Delphinapterus leucas_S.pdf
1987,A-111.002.009.002,CITES ID Manual - Delphinus delphis,EN,,1,CITES ID Manual,General,A-111.002.009.002 Delphinus delphis_E.pdf
1987,A-111.002.009.002,Manual de identificación de la CITES - Delphinus delphis,ES,A-111.002.009.002,1,CITES ID Manual,General,A-111.002.009.002 Delphinus delphis_S.pdf
1984,A-106.000.902.000,CITES ID Manual - Dendrogale,EN,,1,CITES ID Manual,General,A-106.000.902.000 Dendrogale_E.pdf
1984,A-106.000.902.000,Manual de identificación de la CITES - Dendrogale,ES,A-106.000.902.000,1,CITES ID Manual,General,A-106.008.902.001 Dendrogale_S.pdf
2003,A-106.000.902.001,CITES ID Manual - Dendrogale melanura,EN,,1,CITES ID Manual,General,A-106.000.902.001 Dendrogale melanura_E.pdf
