taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference,Designation
96303,SPECIES,COUNTRY,GQ,20130,CMS
96303,SPECIES,COUNTRY,ER,20130,CMS
96303,SPECIES,COUNTRY,SZ,20130,CMS
96303,SPECIES,COUNTRY,ET,20130,CMS
96303,SPECIES,COUNTRY,GA,20130,CMS
96303,SPECIES,COUNTRY,GM,20130,CMS
96303,SPECIES,COUNTRY,GH,20130,CMS
96303,SPECIES,COUNTRY,GN,20130,CMS
96303,SPECIES,COUNTRY,GW,20130,CMS
96303,SPECIES,COUNTRY,KE,20130,CMS
96303,SPECIES,COUNTRY,LS,20130,CMS
96303,SPECIES,COUNTRY,LR,20130,CMS
96303,SPECIES,COUNTRY,MW,20130,CMS
96303,SPECIES,COUNTRY,ML,20130,CMS
96303,SPECIES,COUNTRY,MR,20130,CMS
96303,SPECIES,COUNTRY,MZ,20130,CMS
96303,SPECIES,COUNTRY,NA,20130,CMS
96303,SPECIES,COUNTRY,NE,20130,CMS
96303,SPECIES,COUNTRY,NG,20130,CMS
96303,SPECIES,COUNTRY,RW,20130,CMS
96303,SPECIES,COUNTRY,SN,20130,CMS
96303,SPECIES,COUNTRY,SL,20130,CMS
96303,SPECIES,COUNTRY,SO,20130,CMS
96303,SPECIES,COUNTRY,ZA,20130,CMS
96303,SPECIES,COUNTRY,SS,20130,CMS
96303,SPECIES,COUNTRY,SD,20130,CMS
96303,SPECIES,COUNTRY,TG,20130,CMS
96303,SPECIES,COUNTRY,UG,20130,CMS
96303,SPECIES,COUNTRY,TZ,20130,CMS
96303,SPECIES,COUNTRY,ZM,20130,CMS
96303,SPECIES,COUNTRY,ZW,20130,CMS
96303,SPECIES,COUNTRY,MG,,CMS
94717,SPECIES,COUNTRY,MH,20130,CMS
94717,SPECIES,TERRITORY,AS,20130,CMS
94717,SPECIES,COUNTRY,AU,20130,CMS
94717,SPECIES,COUNTRY,CK,20130,CMS
94717,SPECIES,COUNTRY,FJ,20130,CMS
94717,SPECIES,TERRITORY,PF,20130,CMS
94717,SPECIES,COUNTRY,ID,20130,CMS
94717,SPECIES,COUNTRY,FM,20130,CMS
94717,SPECIES,TERRITORY,NC,20130,CMS
94717,SPECIES,COUNTRY,NZ,20130,CMS
94717,SPECIES,COUNTRY,PW,20130,CMS
94717,SPECIES,COUNTRY,PG,20130,CMS
94717,SPECIES,COUNTRY,WS,20130,CMS
94717,SPECIES,COUNTRY,SB,20130,CMS
94717,SPECIES,COUNTRY,TL,20130,CMS
94717,SPECIES,COUNTRY,TO,20130,CMS
94717,SPECIES,COUNTRY,VU,20130,CMS
11614,SPECIES,COUNTRY,AR,20130,CMS
11614,SPECIES,COUNTRY,CL,20130,CMS
11614,SPECIES,TERRITORY,FK,20130,CMS
12001,SPECIES,COUNTRY,AR,20130,CMS
12001,SPECIES,COUNTRY,CL,20130,CMS
12001,SPECIES,TERRITORY,FK,20130,CMS
94735,SPECIES,COUNTRY,AR,20130,CMS
94735,SPECIES,COUNTRY,BO,20130,CMS
94735,SPECIES,COUNTRY,CL,20130,CMS
94735,SPECIES,COUNTRY,PE,20130,CMS
94726,SPECIES,TERRITORY,GS,20130,CMS
94726,SPECIES,COUNTRY,AR,20130,CMS
94726,SPECIES,COUNTRY,BO,20130,CMS
94726,SPECIES,COUNTRY,BR,20130,CMS
94726,SPECIES,COUNTRY,CL,20130,CMS
94726,SPECIES,TERRITORY,FK,20130,CMS
94726,SPECIES,COUNTRY,PY,20130,CMS
94726,SPECIES,COUNTRY,UY,20130,CMS
94740,SPECIES,COUNTRY,AU,20130,CMS
94740,SPECIES,COUNTRY,ID,20130,CMS
94740,SPECIES,COUNTRY,PG,20130,CMS
96208,SPECIES,COUNTRY,AR,20130,CMS
96208,SPECIES,COUNTRY,BO,20130,CMS
96208,SPECIES,COUNTRY,CL,20130,CMS
96208,SPECIES,COUNTRY,PE,20130,CMS
100055,SPECIES,COUNTRY,AU,20130,CMS
100055,SPECIES,COUNTRY,NZ,20130,CMS
11367,SPECIES,COUNTRY,AR,20130,CMS
11367,SPECIES,COUNTRY,BR,20130,CMS
11367,SPECIES,COUNTRY,CL,20130,CMS
11367,SPECIES,TERRITORY,FK,20130,CMS
11367,SPECIES,COUNTRY,UY,20130,CMS
96642,SPECIES,COUNTRY,AR,20130,CMS
96642,SPECIES,COUNTRY,CL,20130,CMS
96642,SPECIES,TERRITORY,FK,20130,CMS
96642,SPECIES,TERRITORY,GS,20130,CMS
99626,SPECIES,COUNTRY,AF,20130,CMS
99626,SPECIES,COUNTRY,AL,20130,CMS
99626,SPECIES,COUNTRY,DZ,20130,CMS
99626,SPECIES,COUNTRY,AO,20130,CMS
99626,SPECIES,COUNTRY,AM,20130,CMS
99626,SPECIES,COUNTRY,AU,20130,CMS
99626,SPECIES,COUNTRY,AT,20130,CMS
99626,SPECIES,COUNTRY,AZ,20130,CMS
99626,SPECIES,COUNTRY,BH,20130,CMS
99626,SPECIES,COUNTRY,BD,20130,CMS
99626,SPECIES,COUNTRY,BY,20130,CMS
99626,SPECIES,COUNTRY,BJ,20130,CMS
99626,SPECIES,COUNTRY,BA,20130,CMS
99626,SPECIES,COUNTRY,BW,20130,CMS
99626,SPECIES,COUNTRY,BN,20130,CMS
99626,SPECIES,COUNTRY,BG,20130,CMS
99626,SPECIES,COUNTRY,KH,20130,CMS
99626,SPECIES,COUNTRY,CF,20130,CMS
99626,SPECIES,COUNTRY,TD,20130,CMS
99626,SPECIES,COUNTRY,CN,20130,CMS
99626,SPECIES,COUNTRY,HR,20130,CMS
99626,SPECIES,COUNTRY,CY,20130,CMS
99626,SPECIES,COUNTRY,CZ,20130,CMS
99626,SPECIES,COUNTRY,CI,20130,CMS
99626,SPECIES,COUNTRY,EG,20130,CMS
99626,SPECIES,COUNTRY,GQ,20130,CMS
99626,SPECIES,COUNTRY,SZ,20130,CMS
99626,SPECIES,COUNTRY,ET,20130,CMS
99626,SPECIES,COUNTRY,FR,20130,CMS
99626,SPECIES,COUNTRY,GM,20130,CMS
99626,SPECIES,COUNTRY,DE,20130,CMS
99626,SPECIES,COUNTRY,GH,20130,CMS
99626,SPECIES,COUNTRY,GR,20130,CMS
99626,SPECIES,TERRITORY,GU,20130,CMS
99626,SPECIES,COUNTRY,GN,20130,CMS
99626,SPECIES,COUNTRY,GW,20130,CMS
99626,SPECIES,TERRITORY,HK,20130,CMS
99626,SPECIES,COUNTRY,HU,20130,CMS
99626,SPECIES,COUNTRY,IN,20130,CMS
99626,SPECIES,COUNTRY,ID,20130,CMS
99626,SPECIES,COUNTRY,IR,20130,CMS
99626,SPECIES,COUNTRY,IQ,20130,CMS
99626,SPECIES,COUNTRY,IL,20130,CMS
99626,SPECIES,COUNTRY,IT,20130,CMS
99626,SPECIES,COUNTRY,JP,20130,CMS
99626,SPECIES,COUNTRY,JO,20130,CMS
99626,SPECIES,COUNTRY,KZ,20130,CMS
99626,SPECIES,COUNTRY,KE,20130,CMS
99626,SPECIES,COUNTRY,KR,20130,CMS
99626,SPECIES,COUNTRY,KW,20130,CMS
99626,SPECIES,COUNTRY,LA,20130,CMS
99626,SPECIES,COUNTRY,LV,20130,CMS
99626,SPECIES,COUNTRY,LB,20130,CMS
99626,SPECIES,COUNTRY,LR,20130,CMS
99626,SPECIES,COUNTRY,LY,20130,CMS
99626,SPECIES,COUNTRY,LT,20130,CMS
99626,SPECIES,COUNTRY,MG,20130,CMS
99626,SPECIES,COUNTRY,MW,20130,CMS
99626,SPECIES,COUNTRY,MY,20130,CMS
99626,SPECIES,COUNTRY,ML,20130,CMS
99626,SPECIES,COUNTRY,MR,20130,CMS
99626,SPECIES,COUNTRY,FM,20130,CMS
99626,SPECIES,COUNTRY,MD,20130,CMS
99626,SPECIES,COUNTRY,MN,20130,CMS
99626,SPECIES,COUNTRY,ME,20130,CMS
99626,SPECIES,COUNTRY,MA,20130,CMS
99626,SPECIES,COUNTRY,MZ,20130,CMS
99626,SPECIES,COUNTRY,MM,20130,CMS
99626,SPECIES,COUNTRY,NA,20130,CMS
99626,SPECIES,COUNTRY,NP,20130,CMS
99626,SPECIES,COUNTRY,NE,20130,CMS
99626,SPECIES,COUNTRY,NG,20130,CMS
99626,SPECIES,COUNTRY,MK,20130,CMS
99626,SPECIES,TERRITORY,MP,20130,CMS
99626,SPECIES,COUNTRY,OM,20130,CMS
99626,SPECIES,COUNTRY,PK,20130,CMS
99626,SPECIES,COUNTRY,PW,20130,CMS
99626,SPECIES,COUNTRY,PS,20130,CMS
99626,SPECIES,COUNTRY,PG,20130,CMS
99626,SPECIES,COUNTRY,PH,20130,CMS
99626,SPECIES,COUNTRY,PL,20130,CMS
99626,SPECIES,COUNTRY,PT,20130,CMS
99626,SPECIES,COUNTRY,QA,20130,CMS
99626,SPECIES,COUNTRY,RO,20130,CMS
99626,SPECIES,COUNTRY,RU,20130,CMS
99626,SPECIES,COUNTRY,SA,20130,CMS
99626,SPECIES,COUNTRY,SN,20130,CMS
99626,SPECIES,COUNTRY,RS,20130,CMS
99626,SPECIES,COUNTRY,SL,20130,CMS
99626,SPECIES,COUNTRY,SG,20130,CMS
99626,SPECIES,COUNTRY,SK,20130,CMS
99626,SPECIES,COUNTRY,SO,20130,CMS
99626,SPECIES,COUNTRY,ZA,20130,CMS
99626,SPECIES,COUNTRY,SS,20130,CMS
99626,SPECIES,COUNTRY,ES,20130,CMS
99626,SPECIES,COUNTRY,LK,20130,CMS
99626,SPECIES,COUNTRY,SD,20130,CMS
99626,SPECIES,COUNTRY,CH,20130,CMS
99626,SPECIES,COUNTRY,SY,20130,CMS
99626,SPECIES,TERRITORY,TW,20130,CMS
99626,SPECIES,COUNTRY,TJ,20130,CMS
99626,SPECIES,COUNTRY,TZ,20130,CMS
99626,SPECIES,COUNTRY,TH,20130,CMS
99626,SPECIES,COUNTRY,TL,20130,CMS
99626,SPECIES,COUNTRY,TG,20130,CMS
99626,SPECIES,COUNTRY,TN,20130,CMS
99626,SPECIES,COUNTRY,TM,20130,CMS
99626,SPECIES,COUNTRY,TR,20130,CMS
99626,SPECIES,COUNTRY,UG,20130,CMS
99626,SPECIES,COUNTRY,UA,20130,CMS
99626,SPECIES,COUNTRY,AE,20130,CMS
99626,SPECIES,COUNTRY,UZ,20130,CMS
99626,SPECIES,COUNTRY,VN,20130,CMS
99626,SPECIES,COUNTRY,EH,20130,CMS
99626,SPECIES,COUNTRY,YE,20130,CMS
99626,SPECIES,COUNTRY,ZM,20130,CMS
99626,SPECIES,COUNTRY,ZW,20130,CMS
11638,SPECIES,COUNTRY,AR,20130,CMS
11638,SPECIES,COUNTRY,BR,20130,CMS
11638,SPECIES,COUNTRY,CL,20130,CMS
11638,SPECIES,COUNTRY,UY,20130,CMS
11515,SPECIES,COUNTRY,NA,20130,CMS
11515,SPECIES,COUNTRY,ZA,20130,CMS
99623,SPECIES,COUNTRY,AL,20130,CMS
99623,SPECIES,COUNTRY,DZ,20130,CMS
99623,SPECIES,COUNTRY,AT,20130,CMS
99623,SPECIES,COUNTRY,BY,20130,CMS
99623,SPECIES,COUNTRY,BE,20130,CMS
99623,SPECIES,COUNTRY,BA,20130,CMS
99623,SPECIES,COUNTRY,BG,20130,CMS
99623,SPECIES,COUNTRY,HR,20130,CMS
99623,SPECIES,COUNTRY,CY,20130,CMS
99623,SPECIES,COUNTRY,CZ,20130,CMS
99623,SPECIES,COUNTRY,DK,20130,CMS
99623,SPECIES,COUNTRY,EG,20130,CMS
99623,SPECIES,COUNTRY,FR,20130,CMS
99623,SPECIES,COUNTRY,GE,20130,CMS
99623,SPECIES,COUNTRY,DE,20130,CMS
99623,SPECIES,TERRITORY,GI,20130,CMS
99623,SPECIES,COUNTRY,GR,20130,CMS
99623,SPECIES,COUNTRY,HU,20130,CMS
99623,SPECIES,COUNTRY,IL,20130,CMS
99623,SPECIES,COUNTRY,IT,20130,CMS
99623,SPECIES,COUNTRY,JO,20130,CMS
99623,SPECIES,COUNTRY,LB,20130,CMS
99623,SPECIES,COUNTRY,LY,20130,CMS
