id,rank,Internal distribution note,Designation
54464,SPECIES,"Previous distributions for Anguilla (United Kingdom), Aruba, Barbados, Bermuda (United Kingdom), British Virgin Islands (United Kingdom), Brunei Darussalam, Burundi, Cabo Verde, Canada, Cayman Islands (United Kingdom), Colombia, Costa Rica, Côte d'Ivoire, Democratic Republic of the Congo, Dominica, El Salvador, Former Serbia and Montenegro, Grenada, Guadeloupe, Guatemala, Guinea, Haiti, Honduras, Jamaica, Marshall Islands, Martinique, Mexico, Montserrat (United Kingdom), Nicaragua, Panama, Puerto Rico, Qatar, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Saint-Barthélemy, South Sudan, Trinidad and Tobago, Virgin Islands of the USA deleted as part of CMS project 9612 in 2025-2026.",CMS
11734,SPECIES,"Previous distributions for Israel, Mali, Sudan [prior to secession of South Sudan] deleted as part of CMS project 9612 in 2025-2026.",CMS
11392,SPECIES,"Previous distributions for Colombia, Ecuador, Saint Helena and Dependencies (United Kingdom), Venezuela (Bolivarian Republic of) deleted as part of CMS project 9612 in 2025-2026.",CMS
11525,SPECIES,"Previous distributions for Antigua and Barbuda, Brunei Darussalam, Cayman Islands (United Kingdom), Cook Islands, Djibouti, Dominican Republic, El Salvador, Fiji, Former Serbia and Montenegro, Gambia, Gibraltar (United Kingdom), Guadeloupe, Jamaica, Kiribati, Mali, Martinique, Mauritius, Netherlands Antilles, Niger, Nigeria, Panama, Saint Vincent and the Grenadines, Senegal, Seychelles, Sri Lanka, Sudan [prior to secession of South Sudan], Svalbard and Jan Mayen Islands, Thailand, Trinidad and Tobago, Vanuatu, Virgin Islands of the USA, Zambia deleted as part of CMS project 9612 in 2025-2026.",CMS
11975,SPECIES,"Previous distributions for Bhutan, Democratic People's Republic of Korea, Japan, Mongolia, Philippines, Republic of Korea, Russian Federation, Taiwan, Province of China, United States of America deleted as part of CMS project 9612 in 2025-2026.",CMS
11405,SPECIES,"Previous distributions for Bahamas, Denmark, Guadeloupe, Ireland, Martinique, Morocco, Norway, Portugal, Puerto Rico, Spain, Sweden, Turks and Caicos Islands (United Kingdom), United Kingdom of Great Britain and Northern Ireland deleted as part of CMS project 9612 in 2025-2026.",CMS
11361,SPECIES,"Previous distributions for Cameroon, Mali, Somalia, Sudan [prior to secession of South Sudan] deleted as part of CMS project 9612 in 2025-2026.",CMS
12126,SPECIES,"Previous distributions for Aruba, Belize, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Cuba, Curaçao, Cyprus, Egypt, Faroe Islands, Former Serbia and Montenegro, Jordan, Kuwait, Libya, Liechtenstein, Luxembourg, Malta, Mauritania, Morocco, Myanmar, Niger, Nigeria, Oman, Portugal, Qatar, Saint Pierre and Miquelon, Saudi Arabia, Sint Maarten, Spain, Sudan, Sudan [prior to secession of South Sudan], Taiwan, Province of China, Tajikistan, Tunisia, United Arab Emirates, Yemen deleted as part of CMS project 9612 in 2025-2026.",CMS
11672,SPECIES,"Previous distributions for Egypt, Former Serbia and Montenegro, Gibraltar (United Kingdom), Greenland, Hong Kong, SAR, Lebanon, Libya, Liechtenstein, Oman, Thailand, Yemen deleted as part of CMS project 9612 in 2025-2026.",CMS
11879,SPECIES,"Previous distributions for Austria, Canada, Hungary, Italy, Luxembourg, Poland, Portugal, Russian Federation, Slovakia, Slovenia, Spain, Switzerland deleted as part of CMS project 9612 in 2025-2026.",CMS
11903,SPECIES,"Previous distributions for Anguilla (United Kingdom), Azerbaijan, Bahamas, Barbados, Belgium, Belize, Bermuda (United Kingdom), Bulgaria, China, Cuba, Czech Republic, Democratic People's Republic of Korea, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Honduras, Iceland, India, Ireland, Italy, Japan, Kazakhstan, Latvia, Lithuania, Marshall Islands, Netherlands, Poland, Portugal, Puerto Rico, Republic of Korea, Romania, Saint Pierre and Miquelon, Spain, Trinidad and Tobago, Turks and Caicos Islands (United Kingdom), Virgin Islands of the USA deleted as part of CMS project 9612 in 2025-2026.",CMS
94737,SPECIES,"Previous distributions for Canada, Japan deleted as part of CMS project 9612 in 2025-2026.",CMS
94685,SPECIES,"Previous distributions for Japan, Kazakhstan, Thailand, Turkmenistan deleted as part of CMS project 9612 in 2025-2026.",CMS
12034,SPECIES,"Previous distributions for Afghanistan, Albania, Austria, Belgium, Cyprus, Czech Republic, Denmark, Egypt, Former Serbia and Montenegro, France, India, Ireland, Israel, Italy, Jordan, Kuwait, Myanmar, Oman, Pakistan, Spain, Switzerland, Taiwan, Province of China, United Arab Emirates, United Kingdom of Great Britain and Northern Ireland, United States of America deleted as part of CMS project 9612 in 2025-2026.",CMS
11613,SPECIES,"Previous distributions for Algeria, Bangladesh, Canada, Egypt, Former Serbia and Montenegro, Hong Kong, SAR, Iceland, India, Ireland, Kyrgyzstan, Lebanon, Mali, Malta, Mexico, Morocco, Myanmar, Nepal, Portugal, United States of America deleted as part of CMS project 9612 in 2025-2026.",CMS
11474,SPECIES,"Previous distributions for Guam, Japan, Lao People's Democratic Republic, Micronesia (Federated States of), Palau deleted as part of CMS project 9612 in 2025-2026.",CMS
11957,SPECIES,"Previous distributions for Netherlands, Russian Federation deleted as part of CMS project 9612 in 2025-2026.",CMS
95076,SPECIES,Previous distributions for Bhutan deleted as part of CMS project 9612 in 2025-2026.,CMS
12115,SPECIES,"Previous distributions for Antigua and Barbuda, Denmark, France, Greenland, Ireland, Japan, Martinique, Montserrat (United Kingdom), Morocco, Netherlands, Netherlands Antilles, Northern Mariana Islands, Portugal, Russian Federation, Saint Kitts and Nevis, Saint Pierre and Miquelon, Saint-Barthélemy, Spain, United Kingdom of Great Britain and Northern Ireland deleted as part of CMS project 9612 in 2025-2026.",CMS
11739,SPECIES,"Previous distributions for Barbados, Bermuda (United Kingdom), Cayman Islands (United Kingdom), El Salvador, Greenland, Guam, Haiti, Ireland, Jamaica, Japan, Nicaragua, Saint Pierre and Miquelon, United Kingdom of Great Britain and Northern Ireland deleted as part of CMS project 9612 in 2025-2026.",CMS
11958,SPECIES,"Previous distributions for Bhutan, Pakistan, Philippines, Republic of Korea deleted as part of CMS project 9612 in 2025-2026.",CMS
11378,SPECIES,"Previous distributions for Algeria, Antigua and Barbuda, Austria, Belgium, Cabo Verde, Colombia, Denmark, Dominica, El Salvador, Faroe Islands, Finland, France, Germany, Iceland, Ireland, Japan, Martinique, Montserrat (United Kingdom), Morocco, Netherlands, Netherlands Antilles, Norway, Poland, Portugal, Saint Kitts and Nevis, Saint Lucia, Spain, Sweden, Switzerland, United Kingdom of Great Britain and Northern Ireland deleted as part of CMS project 9612 in 2025-2026.",CMS
11727,SPECIES,"Previous distributions for Burkina Faso, Cabo Verde, Canada, Chad, Congo, Faroe Islands, Former Serbia and Montenegro, Ghana, Kenya, Liberia, Niger, Sri Lanka, Sudan [prior to secession of South Sudan], United Republic of Tanzania, United States of America deleted as part of CMS project 9612 in 2025-2026.",CMS
12075,SPECIES,"Previous distributions for Bermuda (United Kingdom), Brunei Darussalam, Cabo Verde, Cameroon, Côte d'Ivoire, Democratic Republic of the Congo, Former Serbia and Montenegro, Gambia, Georgia, Gibraltar (United Kingdom), Greenland, Malawi, Malta, Marshall Islands, Niger, Republic of Moldova, Sierra Leone, Singapore, Somalia, Sudan [prior to secession of South Sudan], Svalbard and Jan Mayen Islands deleted as part of CMS project 9612 in 2025-2026.",CMS
11671,SPECIES,"Previous distributions for Afghanistan, Algeria, Barbados, Cyprus, Former Serbia and Montenegro, Gibraltar (United Kingdom), Greenland, Hong Kong, SAR, Israel, Jamaica, Kyrgyzstan, Malta, Mongolia, Morocco, Nicaragua, Svalbard and Jan Mayen Islands, Thailand, Tunisia, Virgin Islands of the USA deleted as part of CMS project 9612 in 2025-2026.",CMS
