taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,
54434,SPECIES,COUNTRY,RU,20130,CMS,
54434,SPECIES,COUNTRY,SM,20130,CMS,
54434,SPECIES,COUNTRY,SA,20130,CMS,
54434,SPECIES,COUNTRY,RS,20130,CMS,
54434,SPECIES,COUNTRY,SK,20130,CMS,
54434,SPECIES,COUNTRY,SI,20130,CMS,
54434,SPECIES,COUNTRY,ES,20130,CMS,
54434,SPECIES,COUNTRY,PS,20130,CMS,
54434,SPECIES,COUNTRY,SD,20130,CMS,
54434,SPECIES,COUNTRY,SE,20130,CMS,
54434,SPECIES,COUNTRY,CH,20130,CMS,
54434,SPECIES,COUNTRY,SY,20130,CMS,
54434,SPECIES,TERRITORY,TW,20130,CMS,
54434,SPECIES,COUNTRY,TJ,20130,CMS,
54434,SPECIES,COUNTRY,TH,20130,CMS,
54434,SPECIES,COUNTRY,TN,20130,CMS,
54434,SPECIES,COUNTRY,TM,20130,CMS,
54434,SPECIES,COUNTRY,TR,20130,CMS,
54434,SPECIES,COUNTRY,UA,20130,CMS,
54434,SPECIES,COUNTRY,AE,20130,CMS,
54434,SPECIES,COUNTRY,GB,20130,CMS,
54434,SPECIES,COUNTRY,TZ,20130,CMS,
54434,SPECIES,COUNTRY,UZ,20130,CMS,
54434,SPECIES,COUNTRY,VN,20130,CMS,
54434,SPECIES,COUNTRY,YE,20130,CMS,
54434,SPECIES,COUNTRY,ER,,CMS,
54440,SPECIES,COUNTRY,AO,20130,CMS,
54440,SPECIES,COUNTRY,BJ,20130,CMS,
54440,SPECIES,COUNTRY,BW,20130,CMS,
54440,SPECIES,COUNTRY,BF,20130,CMS,
54440,SPECIES,COUNTRY,BI,20130,CMS,
54440,SPECIES,COUNTRY,CM,20130,CMS,
54440,SPECIES,COUNTRY,TD,20130,CMS,
54440,SPECIES,COUNTRY,CI,20130,CMS,
54440,SPECIES,COUNTRY,CD,20130,CMS,
54440,SPECIES,COUNTRY,ET,20130,CMS,
54440,SPECIES,COUNTRY,GH,20130,CMS,
54440,SPECIES,COUNTRY,GN,20130,CMS,
54440,SPECIES,COUNTRY,KE,20130,CMS,
54440,SPECIES,COUNTRY,MW,20130,CMS,
54440,SPECIES,COUNTRY,ML,20130,CMS,
54440,SPECIES,COUNTRY,MZ,20130,CMS,
54440,SPECIES,COUNTRY,NA,20130,CMS,
54440,SPECIES,COUNTRY,NG,20130,CMS,
54440,SPECIES,COUNTRY,RW,20130,CMS,
54440,SPECIES,COUNTRY,SN,20130,CMS,
54440,SPECIES,COUNTRY,ZA,20130,CMS,
54440,SPECIES,COUNTRY,TG,20130,CMS,
54440,SPECIES,COUNTRY,UG,20130,CMS,
54440,SPECIES,COUNTRY,TZ,20130,CMS,
54440,SPECIES,COUNTRY,ZM,20130,CMS,
54440,SPECIES,COUNTRY,ZW,20130,CMS,
54440,SPECIES,COUNTRY,GM,20130,CMS,
54421,SPECIES,COUNTRY,BN,20130,CMS,
54421,SPECIES,COUNTRY,KH,20130,CMS,
54421,SPECIES,COUNTRY,CN,20130,CMS,
54421,SPECIES,COUNTRY,KP,20130,CMS,
54421,SPECIES,TERRITORY,GU,20130,CMS,
54421,SPECIES,TERRITORY,HK,20130,CMS,
54421,SPECIES,COUNTRY,ID,20130,CMS,
54421,SPECIES,COUNTRY,JP,20130,CMS,
54421,SPECIES,COUNTRY,LA,20130,CMS,
54421,SPECIES,COUNTRY,MY,20130,CMS,
54421,SPECIES,COUNTRY,FM,20130,CMS,
54421,SPECIES,COUNTRY,MM,20130,CMS,
54421,SPECIES,TERRITORY,MP,20130,CMS,
54421,SPECIES,COUNTRY,PW,20130,CMS,
54421,SPECIES,COUNTRY,PH,20130,CMS,
54421,SPECIES,COUNTRY,KR,20130,CMS,
54421,SPECIES,COUNTRY,RU,20130,CMS,
54421,SPECIES,COUNTRY,SG,20130,CMS,
54421,SPECIES,TERRITORY,TW,20130,CMS,
54421,SPECIES,COUNTRY,TH,20130,CMS,
54421,SPECIES,COUNTRY,TL,20130,CMS,
54421,SPECIES,COUNTRY,VN,20130,CMS,
66146,SPECIES,COUNTRY,AR,20130,CMS,
66146,SPECIES,COUNTRY,BS,20130,CMS,
66146,SPECIES,COUNTRY,BZ,20130,CMS,
66146,SPECIES,COUNTRY,BO,20130,CMS,
66146,SPECIES,COUNTRY,BR,20130,CMS,
66146,SPECIES,TERRITORY,VG,20130,CMS,
66146,SPECIES,COUNTRY,CA,20130,CMS,
66146,SPECIES,COUNTRY,CO,20130,CMS,
66146,SPECIES,COUNTRY,CR,20130,CMS,
66146,SPECIES,COUNTRY,CU,20130,CMS,
66146,SPECIES,COUNTRY,DO,20130,CMS,
66146,SPECIES,COUNTRY,EC,20130,CMS,
66146,SPECIES,COUNTRY,SV,20130,CMS,
66146,SPECIES,TERRITORY,FK,20130,CMS,
66146,SPECIES,COUNTRY,GT,20130,CMS,
66146,SPECIES,COUNTRY,HT,20130,CMS,
66146,SPECIES,COUNTRY,HN,20130,CMS,
66146,SPECIES,COUNTRY,MX,20130,CMS,
66146,SPECIES,COUNTRY,NI,20130,CMS,
66146,SPECIES,COUNTRY,PA,20130,CMS,
66146,SPECIES,COUNTRY,PE,20130,CMS,
66146,SPECIES,TERRITORY,PR,20130,CMS,
66146,SPECIES,TERRITORY,PM,20130,CMS,
66146,SPECIES,TERRITORY,TC,20130,CMS,
66146,SPECIES,COUNTRY,US,20130,CMS,
66146,SPECIES,COUNTRY,UY,20130,CMS,
66146,SPECIES,COUNTRY,VE,20130,CMS,
66146,SPECIES,TERRITORY,KY,20130,CMS,
54417,SPECIES,COUNTRY,BD,20130,CMS,
54417,SPECIES,COUNTRY,BT,20130,CMS,
54417,SPECIES,COUNTRY,KH,20130,CMS,
54417,SPECIES,COUNTRY,CN,20130,CMS,
54417,SPECIES,COUNTRY,IN,20130,CMS,
54417,SPECIES,COUNTRY,ID,20130,CMS,
54417,SPECIES,COUNTRY,LA,20130,CMS,
54417,SPECIES,COUNTRY,MY,20130,CMS,
54417,SPECIES,COUNTRY,MM,20130,CMS,
54417,SPECIES,COUNTRY,NP,20130,CMS,
54417,SPECIES,COUNTRY,PK,20130,CMS,
