Kingdom,SpcRecID, LegListing, LegDateListed, CountryRecID, LegNotes
Animalia,3124, III, 1976-02-26,82, Originally listed as Ploceidae spp.
Animalia,3124, Deleted, 2007-03-04,82, NULL
Animalia,3125, III, 1975-11-16,148, NULL
Animalia,3125, III/r, 1977-10-24,57, NULL
Animalia,3125, III/w, 1984-01-01,57, NULL
Animalia,3133, III, 1976-04-22,213, NULL
Animalia,3145, III/r, 1977-10-24,57, NULL
Animalia,3145, III/w, 1984-01-01,57, NULL
Animalia,3145, III, 1976-02-26,82, NULL
Animalia,3145, Deleted, 2007-03-04,82, NULL
Animalia,3160, II/r, 1985-08-01,14, NULL
Animalia,3160, II/w, 1989-01-06,14, NULL
Animalia,3171, III, 1976-04-22,213, NULL
Animalia,3335, III, 1981-04-23,89, NULL
Animalia,3340, III/r, 1977-10-24,57, NULL
Animalia,3340, III/w, 1979-06-28,57, NULL
Animalia,3340, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
