Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,,,,,,,
Animalia,386,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,387,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,388,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,390,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,391,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,392,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,393,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,394,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,395,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,396,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,397,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,398,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,399,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,400,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,403,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,404,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,405,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,406,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,407,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,409,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,413,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,415,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,416,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,417,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,418,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,420,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,423,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,424,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,425,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,426,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,427,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,429,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,430,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,431,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,432,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,433,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,434,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,437,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,439,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,440,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,442,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,443,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,445,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,446,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,447,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,450,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
