Date,Manual ID,Title,Lang,Master Document ID,Volume,Type,General/ Part,PDF Filename trimmed
1993,A-303.008.063.037,Manuel d'identification de la CITES - Phelsuma cepediana - trilineata,FR,A-303.008.063.037,3,CITES ID Manual,General,A-303.008.063.037 Phelsuma trilineata_F.pdf
1993,A-303.008.063.038,CITES ID Manual - Phelsuma v-nigra,EN,,3,CITES ID Manual,General,A-303.008.063.038 Phelsuma v-nigra_E.pdf
1993,A-303.008.063.038,Manuel d'identification de la CITES - Phelsuma v-nigra,FR,A-303.008.063.038,3,CITES ID Manual,General,A-303.008.063.038 Phelsuma v-nigra_F.pdf
1983,A-303.009.001.001,CITES ID Manual - Heloderma horridum,EN,,3,CITES ID Manual,General,A-303.009.001.001 Heloderma horridum_E.pdf
1983,A-303.009.001.001,Manual de identificación de la CITES - Heloderma horridum,ES,A-303.009.001.001,3,CITES ID Manual,General,A-303.009.001.001 Heloderma horridum_S.pdf
1983,A-303.009.001.002,CITES ID Manual - Heloderma suspectum,EN,,3,CITES ID Manual,General,A-303.009.001.002 Heloderma suspectum_E.pdf
1983,A-303.009.001.002,Manual de identificación de la CITES - Heloderma suspectum,ES,A-303.009.001.002,3,CITES ID Manual,General,A-303.009.001.002 Heloderma suspectum_S.pdf
1989,A-303.010.001.001,CITES ID Manual - Amblyrhynchus cristatus,EN,,3,CITES ID Manual,General,A-303.010.001.001 Amblyrhynchus cristatus_E.pdf
1989,A-303.010.001.001,Manual de identificación de la CITES - Amblyrhynchus cristatus,ES,A-303.010.001.001,3,CITES ID Manual,General,A-303.010.001.001 Amblyrhynchus cristatus_S.pdf
1984,A-303.010.007.001,CITES ID Manual - Brachylophus fasciatus,EN,,3,CITES ID Manual,General,A-303.010.007.001 Brachylophus fasciatus_E.pdf
1984,A-303.010.007.001,Manual de identificación de la CITES - Brachylophus fasciatus,ES,A-303.010.007.001,3,CITES ID Manual,General,A-303.010.007.001 Brachylophus fasciatus_S.pdf
1984,A-303.010.007.002,CITES ID Manual - Brachylophus vitiensis,EN,,3,CITES ID Manual,General,A-303.010.007.002 Brachylophus vitiensis_E.pdf
1984,A-303.010.007.002,Manual de identificación de la CITES - Brachylophus vitiensis,ES,A-303.010.007.002,3,CITES ID Manual,General,A-303.010.007.002 Brachylophus vitiensis_S.pdf
1987,A-303.010.019.000,CITES ID Manual - Cyclura,EN,,3,CITES ID Manual,General,A-303.010.019.000 Cyclura spp_E.pdf
1987,A-303.010.019.000,Manual de identificación de la CITES - Cyclura,ES,A-303.010.019.000,3,CITES ID Manual,General,A-303.010.019.000 Cyclura_S.pdf
1989,A-303.010.028.001,CITES ID Manual - Iguana delicatissima,EN,,3,CITES ID Manual,General,A-303.010.028.001 Iguana delicatissima_E.pdf
