Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID,,
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,erythroleucus,NULL,NULL,44185,S,12866
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,alleni,NULL,NULL,44178,S,10594
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,angolensis,NULL,NULL,44179,S,12864
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,baeri,NULL,NULL,44180,S,10591
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,peromyscus,NULL,NULL,18122,S,18115
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,montis,NULL,NULL,18123,S,18115
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,albipes,NULL,NULL,44177,S,14091
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,siberu,NULL,NULL,105450,S,41748
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,sumatrana,NULL,NULL,105451,S,18129
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,femoralis,ssp.,siamensis,101786,S,18134
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,bicolor,NULL,NULL,105448,S,18129
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,mitrata,NULL,NULL,105449,S,18129
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,senex,NULL,NULL,29253,S,22042
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,femoralis,ssp.,chrysomelas,41737,S,98470
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,melalophos,ssp.,siamensis,73334,S,18134
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,auratus,NULL,NULL,29250,S,22034
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,geei,NULL,NULL,29251,S,22037
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,pileata,NULL,NULL,29252,S,22041
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,phayrei,NULL,NULL,28775,S,22040
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,vetulus,NULL,NULL,28779,S,22042
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,entellus,NULL,NULL,29249,S,20104
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,francoisi,NULL,NULL,28767,S,22036
