ComName,LangShort,RecId,Rank,Designation,ReferenceID
Черен щъркел,BUL,5581,SPECIES,CITES_EU,
Щъркел на Сторм,BUL,5376,SPECIES,CITES_EU,
Ярибу,BUL,6057,SPECIES,CITES_EU,
Азиатски марабу,BUL,5975,SPECIES,CITES_EU,
Млечен щъркел,BUL,10149,SPECIES,CITES_EU,
Розаво фламинго,BUL,6046,SPECIES,CITES_EU,
Червен ибис,BUL,6234,SPECIES,CITES_EU,
Южен горски ибис,BUL,7519,SPECIES,CITES_EU,
Северен горски ибис,BUL,7558,SPECIES,CITES_EU,
Японски бял ибис,BUL,9080,SPECIES,CITES_EU,
Бяла лопатарка,BUL,8745,SPECIES,CITES_EU,
Гигантски ибис,BUL,8060,SPECIES,CITES_EU,
Никобарски гълъб,BUL,7286,SPECIES,CITES_EU,
Моравокрила гугутка,BUL,8967,SPECIES,CITES_EU,
Скален гълъб,BUL,5649,SPECIES,CITES_EU,
Миндорски плодояден гълъб,BUL,11206,SPECIES,CITES_EU,
Лузонски гълъб,BUL,4623,SPECIES,CITES_EU,
Гренадски гълъб,BUL,10785,SPECIES,CITES_EU,
Маврицийски розов гълъб,BUL,5950,SPECIES,CITES_EU,
Гургулица,BUL,6533,SPECIES,CITES_EU,
Червеноврат калао,BUL,4768,SPECIES,CITES_EU,
Двурога птица носорог,BUL,5527,SPECIES,CITES_EU,
Шлемоносна птица носорог,BUL,5769,SPECIES,CITES_EU,
Равнинна торбеста птица носорог,BUL,8271,SPECIES,CITES_EU,
Банерманово турако,BUL,8549,SPECIES,CITES_EU,
Късопръст ястреб,BUL,7830,SPECIES,CITES_EU,
Голям ястреб,BUL,3109,SPECIES,CITES_EU,
Малък ястреб,BUL,5629,SPECIES,CITES_EU,
Черен лешояд,BUL,4164,SPECIES,CITES_EU,
Императорски орел,BUL,9871,SPECIES,CITES_EU,
Скален орел,BUL,6150,SPECIES,CITES_EU,
Голям креслив орел,BUL,7698,SPECIES,CITES_EU,
Кръстат (царски) орел,BUL,6741,SPECIES,CITES_EU,
Малък креслив орел,BUL,5215,SPECIES,CITES_EU,
Обикновен мишелов,BUL,10354,SPECIES,CITES_EU,
Северен мишелов,BUL,9200,SPECIES,CITES_EU,
Белоопашат мишелов,BUL,5344,SPECIES,CITES_EU,
Кубинска извитоклюна каня,BUL,12205,SUBSPECIES,CITES_EU,
Орел змияр,BUL,10023,SPECIES,CITES_EU,
Тръстиков блатар,BUL,7513,SPECIES,CITES_EU,
