cites_name,cites_taxon_code,speciesplusid,speciesplusname,rank
Elephantidae spp.,750,437,Elephantidae,FAMILY
Emberizidae spp.,1890.05,384,Emberizidae,FAMILY
Estrildidae spp.,1920,440,Estrildidae,FAMILY
Falconidae spp.,1280,292,Falconidae,FAMILY
Faviidae spp.,3349,493,Faviidae,FAMILY
Felidae spp.,680,473,Felidae,FAMILY
Fringillidae spp.,1910,495,Fringillidae,FAMILY
Fungiidae spp.,3299,450,Fungiidae,FAMILY
Galagidae spp.,188,198,Galagidae,FAMILY
Gastorchis spp.,6272,12509,Orchidaceae,Family
Gekkonidae spp.,2250.55,222,Gekkonidae,FAMILY
Gruidae spp.,1370,279,Gruidae,FAMILY
Hippopotamidae spp.,830,430,Hippopotamidae,FAMILY
Hominidae spp.,290,295,Hominidae,FAMILY
Hylobatidae spp.,279.95,458,Hylobatidae,FAMILY
Indriidae spp.,160,535,Indriidae,FAMILY
Leiopathidae spp.,3209.9,566,Leiopathidae,FAMILY
Lemuridae spp.,140,557,Lemuridae,FAMILY
Liliaceae spp.,5290.02,12507,Liliaceae,FAMILY
Loriidae spp.,1470.2,196,Loriidae,FAMILY
Loxocemidae spp.,2359,220,Loxocemidae,FAMILY
Macropodidae spp.,80,472,Macropodidae,FAMILY
Milleporidae spp.,3700,245,Milleporidae,FAMILY
Musophagidae spp.,1570,530,Musophagidae,FAMILY
Mussidae spp.,3459.999,418,Mussidae,FAMILY
Myriopathidae spp.,3216.4,296,Myriopathidae,FAMILY
Nymphalidae spp.,2785,431,Nymphalidae,FAMILY
Oculinidae spp.,3428.9,221,Oculinidae,FAMILY
Orchidaceae spp.,5400,12509,Orchidaceae,FAMILY
Otididae spp.,1400,424,Otididae,FAMILY
Palmae spp.,7412.6,12526,Palmae,FAMILY
Papilionidae spp.,2800,365,Papilionidae,FAMILY
Paradisaeidae spp.,1990,417,Paradisaeidae,FAMILY
Parasarcochilus spp.,6845,12509,Orchidaceae,Family
Pectiniidae spp.,3479,407,Pectiniidae,FAMILY
Phalangeridae spp.,50.22,308,Phalangeridae,FAMILY
Phasianidae spp.,1320,321,Phasianidae,FAMILY
Phocoenidae spp.,530,378,Phocoenidae,FAMILY
Phoenicopteridae spp.,1130,524,Phoenicopteridae,FAMILY
Physeteridae spp.,489.99,332,Physeteridae,FAMILY
Ploceidae spp.,1950,404,Ploceidae,FAMILY
Pocilloporidae spp.,3239.999,444,Pocilloporidae,FAMILY
Poritidae spp.,3339.999,342,Poritidae,FAMILY
Portulacaceae spp.,7460.01,12456,Portulacaceae,FAMILY
Pristidae spp.,2596,484,Pristidae,FAMILY
Psittacidae spp.,1471,561,Psittacidae,FAMILY
Pteropodidae spp.,100,360,Pteropodidae,FAMILY
Pycnonotidae spp.,1854.99,490,Pycnonotidae,FAMILY
Pythonidae spp.,2359.1,521,Pythonidae,FAMILY
Ramphastidae spp.,1798.999,293,Ramphastidae,FAMILY
Rheidae spp.,1010,556,Rheidae,FAMILY
Rhinocerotidae spp.,800,278,Rhinocerotidae,FAMILY
Schizopathidae spp.,3219.8,280,Schizopathidae,FAMILY
Stangeriaceae spp.,7550,12540,Stangeriaceae,FAMILY
Stigmatodactylus spp.,7265,12509,Orchidaceae,Family
Strigidae spp.,1600,421,Strigidae,FAMILY
Stylasteridae spp.,3710,439,Stylasteridae,FAMILY
Tapiridae spp.,790,568,Tapiridae,FAMILY
Testudinidae spp.,2130,199,Testudinidae,FAMILY
Tridacnidae spp.,3110,534,Tridacnidae,FAMILY
Trionychidae spp.,2163,267,Trionychidae,FAMILY
Trochilidae spp.,1640,204,Trochilidae,FAMILY
Tropidophiidae spp.,2389.79,223,Tropidophiidae,FAMILY
Tubiporidae spp.,3820,422,Tubiporidae,FAMILY
Tupaiidae spp.,130,402,Tupaiidae,FAMILY
Tytonidae spp.,1590,554,Tytonidae,FAMILY
Ursidae spp.,579.95,255,Ursidae,FAMILY
Varanidae spp.,2350,526,Varanidae,FAMILY
Welwitschiaceae spp.,7620,12531,Welwitschiaceae,FAMILY
Zamiaceae spp.,7630,12502,Zamiaceae,FAMILY
Ziphiidae spp.,479,184,Ziphiidae,FAMILY
Aa spp.,5401,13490,Aa,GENUS
Abdominea spp.,5402,13592,Abdominea,GENUS
Abeillia spp.,1641,2581,Abeillia,GENUS
Abies spp.,7430,12812,Abies,GENUS
Aburria spp.,1310,30142,Aburria,GENUS
Abyssopathes spp.,3219.81,2625,Abyssopathes,GENUS
Acampe spp.,5404,13180,Acampe,GENUS
Acanthastrea spp.,3460,953,Acanthastrea,GENUS
Acanthephippium spp.,5406,13648,Acanthephippium,GENUS
Acanthocalycium spp.,4101,12925,Acanthocalycium,GENUS
Acanthocereus spp.,4103,12715,Acanthocereus,GENUS
Acantholobivia spp.,4105,39494,Acantholobivia,GENUS
Acanthopathes spp.,3204.005,2198,Acanthopathes,GENUS
Acanthophyllia spp.,3461,2045,Acanthophyllia,GENUS
Acanthorhipsalis spp.,4106,39304,Acanthorhipsalis,GENUS
Accipiter spp.,1191,773,Accipiter,GENUS
Aceras spp.,5408,13131,Aceras,GENUS
Aceratorchis spp.,5409,12835,Aceratorchis,GENUS
Acerodon spp.,101,1427,Acerodon,GENUS
Aceros spp.,1780,1127,Aceros,GENUS
Achatinella spp.,3140,1326,Achatinella,GENUS
Acianthus spp.,5410,13221,Acianthus,GENUS
Acineta spp.,5411,13320,Acineta,GENUS
Acinonyx spp.,681,1929,Acinonyx,GENUS
Acipenser spp.,2620,1528,Acipenser,GENUS
Acostaea spp.,5414,13677,Acostaea,GENUS
Acrantophis spp.,2361,997,Acrantophis,GENUS
Acrhelia spp.,3429,1053,Acrhelia,GENUS
Acriopsis spp.,5415,12609,Acriopsis,GENUS
Acrocephalus spp.,1860,2358,Acrocephalus,GENUS
Acrochaene spp.,5416,13610,Acrochaene,GENUS
Acrolophia spp.,5417,13334,Acrolophia,GENUS
Acropera spp.,5419,39441,Acropera,GENUS
Acropora spp.,3250,2293,Acropora,GENUS
Ada spp.,5420,13039,Ada,GENUS
Addax spp.,880,1788,Addax,GENUS
Adelomyia spp.,1643,1726,Adelomyia,GENUS
Adelopora spp.,3711,1397,Adelopora,GENUS
Adenia spp.,7425,13481,Adenia,GENUS
Adenochilus spp.,5422,13505,Adenochilus,GENUS
Adenoncos spp.,5424,12576,Adenoncos,GENUS
Adrorhizon spp.,5425,13633,Adrorhizon,GENUS
