IsCurrent?,Taxonomy,LawID,SpcRecID,DecLevel,Kingdom,ISO_country,DecOpinion,DecDate,Source,Term,DecNotes,Internal_Notes
1,CITES_EU,8,364,Species,Animalia,TO,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,TH,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,SG,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,PW,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,PH,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,PG,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,MZ,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,MY,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,MV,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,MU,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,MH,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,KE,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,JP,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,IO,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,IN,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,FM,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,CK,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
