taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,Reference
11215,SPECIES,COUNTRY,ID,18787,CITES_EU,
10712,SPECIES,COUNTRY,ID,18787,CITES_EU,
8327,SPECIES,COUNTRY,ID,18787,CITES_EU,
68361,SPECIES,COUNTRY,ID,18787,CITES_EU,
6732,SPECIES,COUNTRY,ID,18787,CITES_EU,
8327,SPECIES,COUNTRY,IL,18787,CITES_EU,
6732,SPECIES,COUNTRY,IL,18787,CITES_EU,
8893,SPECIES,COUNTRY,JP,18787,CITES_EU,
7545,SPECIES,COUNTRY,JP,18787,CITES_EU,
10712,SPECIES,COUNTRY,JP,18787,CITES_EU,
8327,SPECIES,COUNTRY,JP,18787,CITES_EU,
68361,SPECIES,COUNTRY,JP,18787,CITES_EU,
6732,SPECIES,COUNTRY,JP,18787,CITES_EU,
8327,SPECIES,COUNTRY,JO,18787,CITES_EU,
6732,SPECIES,COUNTRY,JO,18787,CITES_EU,
8327,SPECIES,COUNTRY,KE,18787,CITES_EU,
6732,SPECIES,COUNTRY,KE,18787,CITES_EU,
8893,SPECIES,COUNTRY,KI,18787,CITES_EU,
10712,SPECIES,COUNTRY,KI,18787,CITES_EU,
8327,SPECIES,COUNTRY,KI,18787,CITES_EU,
68361,SPECIES,COUNTRY,KI,18787,CITES_EU,
6732,SPECIES,COUNTRY,KI,18787,CITES_EU,
10712,SPECIES,COUNTRY,MG,18787,CITES_EU,
8327,SPECIES,COUNTRY,MG,18787,CITES_EU,
6732,SPECIES,COUNTRY,MG,18787,CITES_EU,
8893,SPECIES,COUNTRY,MY,18787,CITES_EU,
3557,SPECIES,COUNTRY,MY,18787,CITES_EU,
7545,SPECIES,COUNTRY,MY,18787,CITES_EU,
11215,SPECIES,COUNTRY,MY,18787,CITES_EU,
10712,SPECIES,COUNTRY,MY,18787,CITES_EU,
8327,SPECIES,COUNTRY,MY,18787,CITES_EU,
6732,SPECIES,COUNTRY,MY,18787,CITES_EU,
8327,SPECIES,COUNTRY,MV,18787,CITES_EU,
6732,SPECIES,COUNTRY,MV,18787,CITES_EU,
8893,SPECIES,COUNTRY,MH,18787,CITES_EU,
10712,SPECIES,COUNTRY,MH,18787,CITES_EU,
8327,SPECIES,COUNTRY,MH,18787,CITES_EU,
6732,SPECIES,COUNTRY,MH,18787,CITES_EU,
10712,SPECIES,COUNTRY,MU,18787,CITES_EU,
8327,SPECIES,COUNTRY,MU,18787,CITES_EU,
6732,SPECIES,COUNTRY,MU,18787,CITES_EU,
8327,SPECIES,TERRITORY,YT,18787,CITES_EU,
6732,SPECIES,TERRITORY,YT,18787,CITES_EU,
8893,SPECIES,COUNTRY,FM,18787,CITES_EU,
11215,SPECIES,COUNTRY,FM,18787,CITES_EU,
10712,SPECIES,COUNTRY,FM,18787,CITES_EU,
8327,SPECIES,COUNTRY,FM,18787,CITES_EU,
68361,SPECIES,COUNTRY,FM,18787,CITES_EU,
6732,SPECIES,COUNTRY,FM,18787,CITES_EU,
8327,SPECIES,COUNTRY,MZ,18787,CITES_EU,
6732,SPECIES,COUNTRY,MZ,18787,CITES_EU,
8893,SPECIES,COUNTRY,MM,18787,CITES_EU,
10712,SPECIES,COUNTRY,MM,18787,CITES_EU,
8327,SPECIES,COUNTRY,MM,18787,CITES_EU,
6732,SPECIES,COUNTRY,MM,18787,CITES_EU,
8327,SPECIES,COUNTRY,NR,18787,CITES_EU,
68361,SPECIES,COUNTRY,NR,18787,CITES_EU,
8893,SPECIES,TERRITORY,NC,18787,CITES_EU,
7545,SPECIES,TERRITORY,NC,18787,CITES_EU,
11215,SPECIES,TERRITORY,NC,18787,CITES_EU,
10712,SPECIES,TERRITORY,NC,18787,CITES_EU,
8327,SPECIES,TERRITORY,NC,18787,CITES_EU,
7683,SPECIES,TERRITORY,NC,18787,CITES_EU,
68361,SPECIES,TERRITORY,NC,18787,CITES_EU,
6732,SPECIES,TERRITORY,NC,18787,CITES_EU,
8327,SPECIES,TERRITORY,NU,18787,CITES_EU,
6732,SPECIES,TERRITORY,NU,18787,CITES_EU,
8893,SPECIES,TERRITORY,MP,18787,CITES_EU,
7545,SPECIES,TERRITORY,MP,18787,CITES_EU,
10712,SPECIES,TERRITORY,MP,18787,CITES_EU,
8327,SPECIES,TERRITORY,MP,18787,CITES_EU,
6732,SPECIES,TERRITORY,MP,18787,CITES_EU,
8893,SPECIES,COUNTRY,PW,18787,CITES_EU,
3557,SPECIES,COUNTRY,PW,18787,CITES_EU,
7545,SPECIES,COUNTRY,PW,18787,CITES_EU,
11215,SPECIES,COUNTRY,PW,18787,CITES_EU,
10712,SPECIES,COUNTRY,PW,18787,CITES_EU,
8327,SPECIES,COUNTRY,PW,18787,CITES_EU,
6732,SPECIES,COUNTRY,PW,18787,CITES_EU,
8893,SPECIES,COUNTRY,PG,18787,CITES_EU,
3557,SPECIES,COUNTRY,PG,18787,CITES_EU,
7545,SPECIES,COUNTRY,PG,18787,CITES_EU,
11215,SPECIES,COUNTRY,PG,18787,CITES_EU,
10712,SPECIES,COUNTRY,PG,18787,CITES_EU,
8327,SPECIES,COUNTRY,PG,18787,CITES_EU,
68361,SPECIES,COUNTRY,PG,18787,CITES_EU,
6732,SPECIES,COUNTRY,PG,18787,CITES_EU,
8893,SPECIES,COUNTRY,PH,18787,CITES_EU,
7545,SPECIES,COUNTRY,PH,18787,CITES_EU,
11215,SPECIES,COUNTRY,PH,18787,CITES_EU,
10712,SPECIES,COUNTRY,PH,18787,CITES_EU,
8327,SPECIES,COUNTRY,PH,18787,CITES_EU,
68361,SPECIES,COUNTRY,PH,18787,CITES_EU,
6732,SPECIES,COUNTRY,PH,18787,CITES_EU,
8327,SPECIES,TERRITORY,PN,18787,CITES_EU,
6732,SPECIES,TERRITORY,PN,18787,CITES_EU,
8327,SPECIES,TERRITORY,RE,18787,CITES_EU,
6732,SPECIES,TERRITORY,RE,18787,CITES_EU,
8893,SPECIES,COUNTRY,WS,18787,CITES_EU,
11215,SPECIES,COUNTRY,WS,18787,CITES_EU,
10712,SPECIES,COUNTRY,WS,18787,CITES_EU,
8327,SPECIES,COUNTRY,WS,18787,CITES_EU,
68361,SPECIES,COUNTRY,WS,18787,CITES_EU,
6732,SPECIES,COUNTRY,WS,18787,CITES_EU,
8327,SPECIES,COUNTRY,SA,18787,CITES_EU,
6732,SPECIES,COUNTRY,SA,18787,CITES_EU,
7545,SPECIES,COUNTRY,SC,18787,CITES_EU,
8327,SPECIES,COUNTRY,SC,18787,CITES_EU,
6732,SPECIES,COUNTRY,SC,18787,CITES_EU,
8893,SPECIES,COUNTRY,SG,18787,CITES_EU,
7545,SPECIES,COUNTRY,SG,18787,CITES_EU,
10712,SPECIES,COUNTRY,SG,18787,CITES_EU,
8327,SPECIES,COUNTRY,SG,18787,CITES_EU,
6732,SPECIES,COUNTRY,SG,18787,CITES_EU,
8893,SPECIES,COUNTRY,SB,18787,CITES_EU,
7545,SPECIES,COUNTRY,SB,18787,CITES_EU,
11215,SPECIES,COUNTRY,SB,18787,CITES_EU,
10712,SPECIES,COUNTRY,SB,18787,CITES_EU,
8327,SPECIES,COUNTRY,SB,18787,CITES_EU,
68361,SPECIES,COUNTRY,SB,18787,CITES_EU,
6732,SPECIES,COUNTRY,SB,18787,CITES_EU,
8327,SPECIES,COUNTRY,ZA,18787,CITES_EU,
6732,SPECIES,COUNTRY,ZA,18787,CITES_EU,
8327,SPECIES,COUNTRY,LK,18787,CITES_EU,
6732,SPECIES,COUNTRY,LK,18787,CITES_EU,
8327,SPECIES,COUNTRY,SD,18787,CITES_EU,
6732,SPECIES,COUNTRY,SD,18787,CITES_EU,
7545,SPECIES,TERRITORY,TW,18787,CITES_EU,
11215,SPECIES,TERRITORY,TW,18787,CITES_EU,
