Scientific name,Rank,RecID,ParentRank,Parent recID,Status,Species Author,notes,Designation,AcceptedRank,AcceptedRecID
Afribyx,Genus,30018,,,S,,,"CITES_EU,CMS",,
africana,subspecies,94101,Species,94108,S,"Schoepff, 1792",,CITES_EU,Species,4623
africana,Species,88274,Genus,3290,S,"Thiel, 1928",,CITES_EU,Species,19978
africana,Species,94306,Genus,30306,S,"Gray, 1869",,CITES_EU,Species,22199
africana,Species,97094,Genus,4616,S,"Temminck, 1821",,CITES_EU,Species,3130
africanus,Species,28451,Genus,3496,S,"Thorell, 1876",,CITES_EU,Species,15942
africanus,Species,95288,Genus,30436,S,"Cassin, 1865",,CITES_EU,Species,20652
africanus,Species,96862,Genus,1197,S,"(Latham, 1790)",,CITES_EU,Species,5530
africanus,Species,96864,Genus,30612,S,"Latham, 1790",,CITES_EU,Species,5530
africanus,Species,200163,Genus,3694,S,,,CMS,,
afzelii,Species,94404,Genus,30335,S,"Lilljeborg, 1867",,CITES_EU,Species,15635
agalegae,Species,29224,Genus,3716,S,"Cheke, 1975",,CITES_EU,Species,16917
Agama,Genus,30019,,,S,,,CITES_EU,,
agami,Species,95036,Genus,384,S,"Gmelin, 1789",,CITES_EU,Species,656
Agapeta,Genus,30020,,,S,,,CITES_EU,,
Agariciella,Genus,30021,,,S,,,CITES_EU,,
agariciformis,Species,88277,Genus,1796,S,"Lamarck, 1801",,CITES_EU,Species,8717
agaricites,Species,88279,Genus,2715,S,"Linnaeus, 1758",,CITES_EU,Species,670
agaricus,Species,88280,Genus,3951,S,"Duchassaing & Michelotti, 1860",,CITES_EU,Species,17995
agassizi,Species,88281,Genus,2494,S,"Vaughan, 1907",,CITES_EU,Species,6122
agassizii,subspecies,28212,Species,9403,S,"(Daudin, 1801)",,CITES_EU,Species,9400
agassizii,Species,28786,Genus,30850,S,"(Cooper, 1863)",,CITES_EU,Species,9400
agassizii,Species,29359,Genus,30723,S,"(Cooper, 1863)",,CITES_EU,Species,9400
agassizii,Species,94070,Genus,4767,S,"(Cooper, 1863)",,CITES_EU,Species,9400
agassizii,Species,94745,Genus,30841,S,"Valenciennes, 1847",,CITES_EU,Species,1991
Agehana,Genus,30022,,,S,,,CITES_EU,,
Agelaius,Genus,30023,,,S,,,CITES_EU,,
aggregata,Species,88045,Genus,1034,S,"van Pesch, 1914",,CITES_EU,Species,4915
agilis,subspecies,28007,Species,4200,S,"Peters, 1879",,CITES_EU,Species,4198
agilis,subspecies,28251,Species,10548,S,"(Linnaeus, 1771)",,CITES_EU,Species,10543
agilis,Species,96713,Genus,4103,S,"Linnaeus, 1758",,CITES_EU,Species,1042
agnesae,Species,46806,Genus,2126,S,"Fowler, 1907",,CITES_EU,Species,10057
Agouti,Genus,30024,,,S,,,CITES_EU,,
