ComName,LangShort,RecId,Rank,Designation,ReferenceID
Rybák bahenní,CES,4706,species,"EU,CMS-AEWA",
Skorec vodní,CES,4887,species,EU,
Orlík krátkoprstý,CES,4896,species,"CITES,EU",
Moták pochop,CES,4898,species,"CITES,EU",
Moták pilich,CES,4903,species,"CITES,EU",
Moták stepní,CES,4904,species,"CITES,EU",
Hoholka lední,CES,4954,species,"EU,CMS",
Dlask tlustozobý,CES,5041,species,EU,
Holub skalní,CES,5191,species,"CITES,EU",
Holub dlouhoprstý,CES,5201,species,EU,
Mandelík hajní,CES,5290,species,"EU,CMS",
Amur bily,CES,5834,species,EU,7295
Strakapoud velký,CES,6391,species,EU,
Strakapoud malý,CES,6393,species,EU,
Plch zahradní,CES,7618,species,CITES,
Strnad obojkový,CES,7675,species,CMS,
Strnad šedokrký,CES,7677,species,EU,
Strnad obecný,CES,7682,species,EU,
Strnad zahradní,CES,7683,species,EU,
Strnad malinký,CES,7687,species,EU,
Strnad rákosní,CES,7689,species,EU,
Astrild vlnkovaný,CES,8100,species,"CITES,EU",
Raroh velký,CES,8449,species,"CITES,EU",
Raroh lovecký,CES,8472,species,"CITES,EU",
Poštolka obecná,CES,8477,species,"CITES,EU",
Poštolka rudonohá,CES,8478,species,"CITES,EU",
Lejsek malý,CES,8562,species,CMS,
Papuchalk ploskozobý,CES,8684,species,"EU,CMS-AEWA",
Chocholouš obecný,CES,8828,species,EU,
Bekasina otavní,CES,8853,species,"EU,CMS",
Slípka zelenonohá,CES,8860,species,CMS-AEWA,
Potáplice severní,CES,8959,species,"EU,CMS",
Potáplice lední,CES,8960,species,"EU,CMS",
Potáplice malá,CES,8962,species,"EU,CMS",
Potáplice malá,CES,8962,species,"EU,CMS",6234
Ouhorlík stepní,CES,9204,species,"EU,CMS",
Kulíšek nejmenší,CES,9223,species,"CITES,EU",
Orlosup bradatý,CES,9582,species,"CITES,EU",
Orel nejmenší,CES,10039,species,"CITES,EU",
Sedmihlásek hajní,CES,10099,species,CMS,
Sedmihlásek olivní,CES,10100,species,CMS,
Vlaštovka obecná,CES,10197,species,EU,
Vyza,CES,10269,species,"CITES,EU",7295
Vyza velka,CES,10269,species,"CITES,EU",7295
Dikobraz obecný,CES,10746,species,"CITES,EU",
Krutihlav obecný,CES,10948,species,EU,
Racek tenkozobý,CES,11318,species,"EU,CMS",
Racek polární,CES,11319,species,"EU,CMS-AEWA",
Racek šedý,CES,11320,species,"EU,CMS-AEWA",
Racek velký,CES,11321,species,CMS,
Racek malý,CES,11325,species,"EU,CMS-AEWA",
Racek chechtavý,CES,11329,species,CMS-AEWA,
Racek arménský,CES,11335,species,CMS,
Slunecnice pestra,CES,11626,species,EU,
Zajíc africký,CES,11789,species,EU,
Slon,CES,12392,species,"CITES,EU",
Slavík kaliopa,CES,12408,species,CMS,
Slavík tmavý,CES,12409,species,CMS,
Slavík obecný,CES,12410,species,CMS,
Rys ostrovid,CES,12519,species,"CITES,EU",
Rys pardálový,CES,12520,species,"CITES,EU",
Magot,CES,12561,species,"CITES,EU",
Klokan rudokrký,CES,12630,species,EU,
Kuna lesní,CES,12848,species,EU,
Vlha pestrá,CES,13176,species,"EU,CMS",
Skalník modrý,CES,13733,species,CMS,
Terej bílý,CES,13892,species,"EU,CMS-AEWA",
Konipas bílý,CES,13905,species,EU,
Konipas horský,CES,13906,species,EU,
Lejsek šedý,CES,13995,species,CMS,
Plch hrabavý,CES,14087,species,EU,
Netopýr východní,CES,14124,species,CMS,
Netopýr dlouhonohý,CES,14126,species,CMS,
Netopýr brvitý,CES,14129,species,CMS,
Netopýr velký,CES,14133,species,CMS,
Netopýr vousatý,CES,14134,species,CMS,
Zrzohlávka rudozobá,CES,14731,species,"EU,CMS",
Koliha velká,CES,14911,species,"EU,CMS",
Koliha malá,CES,14914,species,CMS,
Koliha velká,CES,14916,species,"CITES,EU",
Netopýr obrovský,CES,14918,species,CMS,
Netopýr stromový,CES,14919,species,CMS,
Netopýr rezavý,CES,14920,species,CMS,
Ondatra,CES,15324,species,EU,
Drop velký,CES,15639,species,"CITES,EU",
Muflon,CES,15733,species,"CITES,EU",
Sýkora temná,CES,16382,species,EU,
Sýkora babka,CES,16386,species,EU,
Vrabec domácí,CES,16412,species,"CITES,EU",
Vrabec polní,CES,16415,species,EU,
Pelikán bílý,CES,16490,species,CMS,
Vrabec skalní,CES,16783,species,EU,
Kormorán chocholatý,CES,16825,species,EU,
Kormorán velký,CES,16826,species,"EU,CMS-AEWA",
Kormorán malý,CES,16831,species,"EU,CMS",
Lyskonoh úzkozobý,CES,16864,species,"EU,CMS",
Jespák bojovný,CES,16994,species,"EU,CMS",
Rehek domácí,CES,17049,species,CMS,
Rehek zahradní,CES,17050,species,CMS,
Netopýr jizní,CES,17314,species,CMS,
Netopýr makaronéský,CES,17315,species,"CITES,EU",
Netopýr parkový,CES,17316,species,CMS,
Netopýr hvízdavý,CES,17317,species,CMS,
Kolpík bílý,CES,17484,species,"CITES,EU",
Netopýr ušatý,CES,17596,species,CMS,
Netopýr dlouhouchý,CES,17597,species,CMS,
Kulík zlatý,CES,17755,species,CMS,
Kulík bledý,CES,17758,species,"EU,CMS",
Potápka rudokrká,CES,17809,species,"EU,CMS",
Slípka modrá,CES,18071,species,"CITES,EU",
Mýval severní,CES,18266,species,EU,
Aleksandr malý,CES,18624,species,"CITES,EU",
Stepokur krásný,CES,18660,species,EU,
Hýl obecný,CES,18997,species,EU,
Vrápenec velký,CES,19517,species,"CITES,CMS",
Vrápenec malý,CES,19518,species,"CITES,CMS",
Horavka duhova,CES,19671,species,EU,7295
Horavka duhová,CES,19671,species,EU,
Kamzík horský,CES,19767,species,"CITES,EU",
Sluka lesní,CES,20040,species,"EU,CMS",
Kanár divoký,CES,20144,species,"CITES,EU",
Zvonohlík citrónový,CES,20146,species,EU,
Zvonohlík zahradní,CES,20151,species,EU,
Brhlík lesní,CES,20273,species,EU,
Brhlík turecký,CES,20275,species,EU,
Brhlík skalní,CES,20278,species,EU,
Brhlík korsický,CES,20281,species,EU,
Kajka královská,CES,20338,species,"EU,CMS",
Chaluha malá,CES,20792,species,"EU,CMS-AEWA",
Rybák malý,CES,20797,species,CMS,
