Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
hosei,Species,18128,Genus,3970,A,"(Thomas, 1889)",,CITES_EU
frontata,Species,18127,Genus,3970,A,"(Müller, 1838)",,CITES_EU
femoralis,Species,18126,Genus,3970,A,"(Martin, 1838)",,CITES_EU
comata,Species,18125,Genus,3970,A,"(Desmarest, 1822)",,CITES_EU
conferta,Species,18111,Genus,3966,A,"Cairns, 1978",,CITES_EU
anthophyllites,Species,18110,Genus,3966,A,"(Ellis & Solander, 1786)",,CITES_EU
hispidus,Species,18109,Genus,3965,A,"(Pourtalès, 1878)",,CITES_EU
flavus,Species,18108,Genus,3964,A,"(Schreber, 1774)",,CITES_EU
tridactylus,Species,18104,Genus,3963,A,"(Kerr, 1792)",,CITES_EU
platyops,Species,18103,Genus,3963,A,"(Gould, 1844)",,CITES_EU
longipes,Species,18102,Genus,3963,A,"Seebeck & Johnston, 1980",,CITES_EU
capax,Species,18091,Genus,3959,A,"(Green, 1832)",,CITES_EU
pusilla,Species,18079,Genus,3956,A,"(Pallas, 1776)",,"CITES_EU,CMS"
porzana,Species,18078,Genus,3956,A,"(Linnaeus, 1766)",,"CITES_EU,CMS"
parva,Species,18077,Genus,3956,A,"(Scopoli, 1769)",,"CITES_EU,CMS"
porphyrio,Species,18071,Genus,3953,A,"(Linnaeus, 1758)",,CITES_EU
