ComName,LanDesc,SpcRecId
Gato manul,Spanish,15640
Chat manul,French,15640
Asian Wild Sheep,English,15733
Argali,English,15733
Marco Polo Sheep,English,15733
Muflón de Marco Polo,Spanish,15733
Muflón argal,Spanish,15733
Mouflon d'Asie,French,15733
Mouflon d'Eurasie,French,15733
Argali,French,15733
Mouflon vrai,French,15733
Argalí,Spanish,15733
Mouflon méditerranéen,French,15733
Muflón,Spanish,15733
Great Tibetan Sheep,English,15734
Tibetan Argali,English,15734
Nyan,English,15734
Muflón argal tibetano,Spanish,15734
Mouflon de l'Himalaya,French,15734
Mouflon des montagnes,French,15734
Argalí del Himalaya,Spanish,15734
Mountain Sheep,English,15735
Bighorn Sheep,English,15735
Borrego cimarrón,Spanish,15735
Carnero del Canadá,Spanish,15735
Carnero salvaje,Spanish,15735
Mouflon d'Amérique,French,15735
Mouflon pachycère,French,15735
Mouflon du Canada,French,15735
Bighorn,French,15735
Mexican Bighorn Sheep,English,15735
Cyprian Wild Sheep,English,15737
Cyprus Mouflon,English,15737
Muflón de Chipre,Spanish,15737
Mouflon de Chypre,French,15737
Ladakh Urial,English,15738
Mouflon du Ladak,French,15738
Mouflon,English,15739
Kara Tau Argali,English,15745
Pampas Deer,English,15803
Ciervo pampero,Spanish,15803
Ciervo de las Pampas,Spanish,15803
Venado de las pampas,Spanish,15803
Venado campero,Spanish,15803
Venado de campo,Spanish,15803
Cerf des pampas,French,15803
Goazu,French,15803
Lion,English,15951
León,Spanish,15951
Lion d'Afrique,French,15951
Indian Lion,English,15952
Asiatic Lion,English,15952
León indostánico,Spanish,15952
Lion d'Asie,French,15952
León asiático,Spanish,15952
Jaguar,English,15953
Yaguarete,Spanish,15953
Jaguar,Spanish,15953
Otorongo,Spanish,15953
Tigre americano,Spanish,15953
Tigre real,Spanish,15953
Yaguar,Spanish,15953
Jaguar,French,15953
Leopard,English,15954
Pantera,Spanish,15954
Leopardo,Spanish,15954
Léopard,French,15954
Panthère,French,15954
Panther,English,15954
Tiger,English,15955
Tigre,Spanish,15955
Tigre,French,15955
Amur Tiger,English,15956
Tigre de Sibérie,French,15956
Siberian Tiger,English,15956
Orong,English,15967
Chiru,English,15967
Tibetan Antelope,English,15967
Antílope del Tibet,Spanish,15967
Antilope du Tibet,French,15967
Tchirou,French,15967
Antílope tibetano,Spanish,15967
Marbled Cat,English,16218
Gato jaspeado,Spanish,16218
Chat marbré,French,16218
Collared Peccary,English,16457
Zaino javelina,Spanish,16457
Pecarí de collar,Spanish,16457
Pécari à collier,French,16457
Chat-léopard de Chine,French,18146
Gato leopardo chino,Spanish,18146
Leopard Cat,English,18146
Gato de Bengala,Spanish,18146
Gato bengalí,Spanish,18146
Chat-léopard du Bengale,French,18146
Chat de Chine,French,18146
Bengal Leopard Cat,English,18147
Chat-tigre du Bengale,French,18147
Flat-headed Cat,English,18148
Gato cabeciancho,Spanish,18148
Chat à tête plate,French,18148
Gato de cabeza plana,Spanish,18148
Rusty-spotted Cat,English,18149
Gato rojizo,Spanish,18149
Gato rubiginosa,Spanish,18149
Chat rougeâtre,French,18149
Chat-léopard de l'Inde,French,18149
Chat rubigineux,French,18149
Gato leopardo de la India,Spanish,18149
Fishing Cat,English,18150
Gato pescador,Spanish,18150
Chat pêcheur,French,18150
Iriomote Cat,English,18151
African Golden Cat,English,18306
Golden Cat,English,18306
Gato dorado,Spanish,18306
Chat doré,French,18306
Red Fox,English,18439
Colpeo Fox,English,18439
Andean Wolf,English,18439
Culpeo,English,18439
Zorro andino,Spanish,18439
Culpeo,Spanish,18439
Zorro colorado,Spanish,18439
Renard colfeo,French,18439
Chiloe Fox,English,18440
Argentine Grey Fox,English,18440
Pampa Fox,English,18440
Grey Zorro,English,18440
Little Fox,English,18440
Chico Grey Fox,English,18440
Zorro de la Isla Chiloe,Spanish,18440
