Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,vignei,NULL,NULL,29583,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,elaphus,NULL,NULL,29740,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Tetracerus,quadricornis,NULL,NULL,21661,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Tragelaphus,eurycerus,NULL,NULL,22047,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Tragelaphus,spekii,NULL,NULL,22050,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Saiga,borealis,ssp.,mongolica,19833,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,SUIDAE,Sus,salvanius,NULL,NULL,21172,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Tayassu,pecari,NULL,NULL,21552,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,NULL,NULL,512,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Rupicapra,pyrenaica,NULL,NULL,19771,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Saiga,tatarica,NULL,NULL,19832,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,ssp.,missoulensis,18874,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,ssp.,couguar,18871,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,ssp.,azteca,18872,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,ssp.,mayensis,18873,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,NULL,NULL,18868,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,ssp.,coryi,18869,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Puma,concolor,ssp.,costaricensis,18870,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,culpaeus,NULL,NULL,18439,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Lycalopex,griseus,NULL,NULL,18440,A
