SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes
52377,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
167035,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
167035,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
53485,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
53485,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
52184,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
52184,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
52185,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
52185,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
53484,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
53484,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
52031,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
52031,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
52182,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
52182,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50405,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50405,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50407,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50408,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50408,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50412,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50412,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50407,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
24261,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
12181,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
12181,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
40128,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
40128,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
24261,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50413,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
49745,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
49745,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50411,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50411,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50413,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50409,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50410,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
50410,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
43829,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
43829,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50409,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
20859,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
20859,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
59205,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
59205,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
75636,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
75636,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
62232,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
