Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Terrapene,carolina,"(Linnaeus, 1758)",NULL,NULL,NULL,21641,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Terrapene,coahuila,"K. P. Schmidt & Owens, 1944",NULL,NULL,NULL,21642,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Terrapene,nelsoni,"Stejneger, 1925",NULL,NULL,NULL,21643,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Terrapene,ornata,"(Agassiz, 1857)",NULL,NULL,NULL,21644,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Testudo,graeca,"Linnaeus, 1758",NULL,NULL,NULL,21646,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Testudo,hermanni,"Gmelin, 1789",NULL,NULL,NULL,21648,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Testudo,hermanni,"Gmelin, 1789",ssp.,boettgeri,"Mojsisovics, 1889",21649,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Testudo,horsfieldii,"Gray, 1844",NULL,NULL,NULL,21651,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Testudo,kleinmanni,"Lortet, 1883",NULL,NULL,NULL,21652,A
Animalia,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Testudo,marginata,"Schoepff, 1792",NULL,NULL,NULL,21653,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Tetracerus,quadricornis,"(de Blainville, 1816)",NULL,NULL,NULL,21661,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetrao,mlokosiewiczi,"Taczanowski, 1875",NULL,NULL,NULL,21670,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,caspius,"(Gmelin, 1784)",NULL,NULL,NULL,21673,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,tibetanus,"Gould, 1854",NULL,NULL,NULL,21674,A
Animalia,CHORDATA,AVES,GRUIFORMES,OTIDIDAE,Tetrax,tetrax,"(Linnaeus, 1758)",NULL,NULL,NULL,21677,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Thalurania,colombica,"(Bourcier, 1843)",NULL,NULL,NULL,21696,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Thalurania,fannyi,"(DeLattre & Bourcier, 1846)",NULL,NULL,NULL,21697,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Thalurania,furcata,"(Gmelin, 1788)",NULL,NULL,NULL,21698,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Thalurania,glaucopis,"(Gmelin, 1788)",NULL,NULL,NULL,21699,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Thalurania,ridgwayi,"Nelson, 1900",NULL,NULL,NULL,21700,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Thalurania,watertonii,"(Bourcier, 1847)",NULL,NULL,NULL,21701,A
Animalia,CHORDATA,REPTILIA,SERPENTES,COLUBRIDAE,Thamnophis,hammondi,"(Kennicott, 1860)",NULL,NULL,NULL,21707,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Theropithecus,gelada,"(Rüppell, 1835)",NULL,NULL,NULL,21744,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Threnetes,niger,"(Linnaeus, 1758)",NULL,NULL,NULL,21830,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Threnetes,ruckeri,"(Bourcier, 1847)",NULL,NULL,NULL,21832,A
Animalia,CHORDATA,AVES,CICONIIFORMES,THRESKIORNITHIDAE,Threskiornis,aethiopicus,"(Latham, 1790)",NULL,NULL,NULL,21833,A
Animalia,CHORDATA,MAMMALIA,DASYUROMORPHIA,THYLACINIDAE,Thylacinus,cynocephalus,"(Harris, 1808)",NULL,NULL,NULL,21866,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Tilmatura,dupontii,"(Lesson, 1832)",NULL,NULL,NULL,21909,A
Animalia,CHORDATA,AVES,TINAMIFORMES,TINAMIDAE,Tinamus,solitarius,"(Vieillot, 1819)",NULL,NULL,NULL,21911,A
Animalia,CHORDATA,REPTILIA,CROCODYLIA,CROCODYLIDAE,Tomistoma,schlegelii,"(S. Müller, 1838)",NULL,NULL,NULL,21981,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Topaza,pella,"(Linnaeus, 1758)",NULL,NULL,NULL,21990,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Topaza,pyra,"(Gould, 1846)",NULL,NULL,NULL,21991,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Torgos,tracheliotus,"(Forster, 1791)",NULL,NULL,NULL,21993,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Touit,batavicus,"(Boddaert, 1783)",NULL,NULL,NULL,22004,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Touit,costaricensis,"(Cory, 1913)",NULL,NULL,NULL,22005,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Touit,dilectissimus,"(Sclater & Salvin, 1871)",NULL,NULL,NULL,22006,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Touit,huetii,"(Temminck, 1830)",NULL,NULL,NULL,22007,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Touit,melanonotus,"(Wied, 1820)",NULL,NULL,NULL,22008,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Touit,purpuratus,"(Gmelin, 1788)",NULL,NULL,NULL,22009,A
